,gene,Nmean,NSD,Cmean,CSD,methelation
0,A1CF,0.5490001239152535,0.14982018014275228,0.5138446556905053,0.19766617962170072,Down
1,A2BP1---Cluster1,0.05870035612340582,0.04283795886795197,0.18744592763356765,0.20111249630238706,Up
2,A2M,0.7711405971459908,0.06399604987648938,0.6432594522190916,0.1900837359196398,Down
3,A2ML1---Cluster1,0.6281429828475927,0.10567800510758264,0.562718699681396,0.2333811838843908,Down
4,A4GALT---Cluster1,0.04103060745822544,0.006823423344908352,0.06696798800941216,0.04584214387226623,Up
5,A4GALT---Cluster2,0.5238623707381058,0.094462601136964,0.4682894837755535,0.17818893053880047,Down
6,A4GNT,0.631741716010084,0.09622477047544656,0.7910184063981414,0.15269379634767932,Up
7,AAAS---Cluster1,0.010964548954248868,0.0023280646915119114,0.020800863129825337,0.009775535949536996,Up
8,AAAS---Cluster2,0.1703033612838254,0.033521368409920316,0.1334808705140942,0.04752245886828947,Down
9,AACS,0.015151660556621425,0.0029637391852446976,0.03211518506906351,0.03508065339106412,Up
10,AADAC,0.98248853736917,0.003456794150563454,0.917470127503244,0.05965110116237229,Down
11,AADACL2,0.8806296071247859,0.03396170387099391,0.7172727016689692,0.12858461560274687,Down
12,AADAT---Cluster1,0.007933917607418638,0.001431135994402508,0.015018553929992497,0.008040018861766257,Up
13,AADAT---Cluster2,0.015153310486654288,0.004825771472763035,0.02278064095571915,0.010346254216544342,Up
14,AAGAB,0.8700779283188196,0.019164892837463823,0.8152011110676652,0.061027317695380015,Down
15,AAK1,0.028611726873420038,0.004381589821998627,0.027317005391582033,0.014291194828241972,Down
16,AAMP,0.8522720450311624,0.032619230432722864,0.7061160826994154,0.19311368915278396,Down
17,AARS---Cluster1,0.03346377722052126,0.007157696034303942,0.05090044574480359,0.027715782996872967,Up
18,AARS---Cluster2,0.93840702929566,0.01893597641698084,0.922812658395404,0.04265589719514591,Down
19,AASDH,0.012486218416737162,0.0013028774939060565,0.02131608278814237,0.01741786372856205,Up
20,AASDHPPT,0.01201378435487975,0.0018331271301631664,0.021116854901988818,0.030163612385105138,Up
21,AASS,0.9343774645369929,0.015513957763718628,0.8108660544204921,0.2048964247511247,Down
22,AATF,0.01123021427007246,0.004263873730424382,0.012704140407838078,0.003989426513276228,Up
23,AATK---Cluster1,0.5603456969212214,0.07380249800000815,0.5206785920783685,0.2050138981618811,Down
24,AATK---Cluster2,0.0152934473190965,0.0029707427657119237,0.028162782684344412,0.0210732272760066,Up
25,ABAT---Cluster1,0.012815642110029815,0.003199944508508284,0.01962207568288936,0.02120536894322813,Up
26,ABAT---Cluster2,0.03583526938249024,0.025744994290946083,0.02099429936427407,0.02595721213328521,Down
27,ABCA1,0.0042632422805461935,0.0005275542916500746,0.008203311726601438,0.0033104180269440137,Up
28,ABCA17P,0.06314848746960093,0.02560407510210923,0.019425402429496898,0.021284291559716773,Down
