['THOC1' 0.000451118184737839]
['FUS' 0.00037726213825509385]
['DDX5' 0.00037020495346551234]
['FLOT1' 0.0003601898664171365]
['PDHA1' 0.00035934308586981455]
['CLTA' 0.0003359089541999559]
['PARP15' 0.0003351449239264329]
['ADAM28' 0.000327295231526155]
['DISC1' 0.0003113215670717857]
['TMSB10' 0.00030910664552845124]
['GTF2F1' 0.00030829229528545965]
['WEE1' 0.00030746660496644684]
['C14orf128' 0.0003074199853509972]
['PPME1' 0.00030164919119866755]
['DHX33' 0.0003003620705739861]
['TLR10' 0.00029834738228260235]
['NPAT' 0.0002928348647586147]
['OSTN' 0.0002875970341600308]
['TMEM166' 0.000282684312197017]
['RAB32' 0.0002713830611195528]
['SCRG1' 0.0002675709785316925]
['LYPD1' 0.0002652066790574035]
['LOC201164' 0.0002651251582992516]
['MCM4' 0.0002628965937199453]
['CCR6' 0.0002627509834646583]
['GCS1' 0.00026213019908401665]
['Age' 0.00026054437014818134]
['RNMT' 0.0002601168070990292]
['BCAT1' 0.0002568148687238161]
['C20orf69' 0.0002562904223649618]
['SEMA4A' 0.0002552997635961575]
['GPS2' 0.00025412263405256096]
['FRAG1' 0.0002529760009605031]
['PRPS2' 0.0002496492660182472]
['PDCD4' 0.00024657373183573235]
['ETV5' 0.0002433378558048237]
['PTDSS1' 0.00024296340262428204]
['KIAA1822L' 0.00024087228657568817]
['RBBP7' 0.00023854139559094812]
['ANP32B' 0.00023766158229268492]
['C8orf37' 0.00023664793287301645]
['LYG2' 0.00023279848521580942]
['C21orf99' 0.00023221166367692436]
['NXNL2' 0.00022696831908184542]
['C16orf52' 0.00022082188461377102]
['AFG3L2' 0.00021854957874812024]
['BSG' 0.0002130004076507238]
['AGPAT6' 0.00021077894610705444]
['FAM132A' 0.00020787143349564586]
['ETV6' 0.00020785937498584678]
['NSMAF' 0.00020776757791314562]
['RNF20' 0.00020596500097987169]
['OR5M10' 0.00020463573962251443]
['URG4' 0.00020458874644137295]
['PPP2R1A' 0.00020449805058955377]
['TRIP10' 0.000204264006318377]
['DBNL' 0.00020232148562478565]
['SLAMF7' 0.00020012229210864885]
['BICD2' 0.00019898476612376754]
['KIAA1609' 0.00019878063125663487]
['INSIG1' 0.0001986821808881767]
['TSNAX' 0.00019815762229415674]
['RAG1AP1' 0.00019809314667012888]
['LUC7L2' 0.00019795233631844273]
['SSPN' 0.00019685323322606835]
['FAM135B' 0.00019566487564232825]
['EPM2A' 0.00019523492741247095]
['OR2AE1' 0.00019456012135780603]
['PLTP' 0.0001941837821934518]
['TNFRSF10C' 0.00019347134975590462]
['WHSC1L1' 0.00019306174107479806]
['STAC' 0.00019269742345122385]
['IRF4' 0.00019209096075410178]
['MGAT4A' 0.00019151590267806322]
['KLF4' 0.00019097922957777902]
['ASRGL1' 0.0001883745817443109]
['C10orf63' 0.00018828740850161278]
['ETV4' 0.00018752179139958989]
['STARD3NL' 0.00018689663982075617]
['PPAPDC1B' 0.00018482546732563637]
['OR8J1' 0.00018454217561454344]
['HERC2P2' 0.0001842068536404173]
['GCAT' 0.00018360659468698065]
['PPP3R1' 0.00018334745141504623]
['CCR3' 0.00018242033717923517]
['GOLSYN' 0.00018163963153037713]
['MAPK7' 0.0001812631107222763]
['ZNF467' 0.00018121637610426692]
['FOS' 0.0001811459438447419]
['TST' 0.00018073270012490178]
['SMCHD1' 0.0001800515245472508]
['DIS3L' 0.00017962777800494952]
['NCF1' 0.00017905138356644489]
['EFCBP2' 0.00017877729748168403]
['HUS1' 0.0001784345987361461]
['GNL2' 0.0001779915048289241]
['USP53' 0.00017693393900771983]
['CD47' 0.00017603966615908426]
['TCTE1' 0.0001754041214712897]
['KRAS' 0.00017522587424792236]
['LAYN' 0.00017473650170122726]
['WTAP' 0.00017446368446030275]
['NEK6' 0.00017357548301767832]
['MAPKAPK5' 0.00017141404200806423]
['PSMC4' 0.0001711450571734675]
['GZF1' 0.0001709083707437114]
['DNAJB6' 0.00017036744460241125]
['LOC388969' 0.00017029908857269448]
['ATP5A1' 0.0001702085632947009]
['HOXA3' 0.00016935982544526718]
['CHST12' 0.00016860437648704687]
['LOC554248' 0.00016833562788466167]
['SLC6A8' 0.00016809031910062052]
['GPR15' 0.00016796604188714926]
['ACYP2' 0.00016774646760571977]
['PRUNE2' 0.0001670844919558392]
['PPP2R2D' 0.0001666416229151599]
['ZNF776' 0.00016606766678286248]
['DIRC2' 0.00016551983182467857]
['TAF3' 0.00016496431261690318]
['SDCCAG8' 0.00016449596165638274]
['SNX4' 0.00016442624221372479]
['RPP38' 0.00016424465112165328]
['AR' 0.0001642113117871842]
['C17orf68' 0.00016416048490727097]
['MBNL2' 0.00016388389636863476]
['SPRY4' 0.00016318834670985243]
['PLEKHM1' 0.00016284860430691738]
['RGS18' 0.00016242588311721955]
['AGPAT5' 0.00016222977902312081]
['C1orf101' 0.0001619467784599852]
['ZDHHC14' 0.00016191842045670826]
['PANX1' 0.00016129609616292922]
['JRKL' 0.00016106549220994967]
['LOH3CR2A' 0.00016093524372152171]
['MGC13008' 0.00016084191561008956]
['YES1' 0.00016077125430671358]
['ABCB6' 0.00016055544633564105]
['REG4' 0.00015986255355780372]
['MXD1' 0.00015950695188303088]
['DDX27' 0.00015883132171402723]
['DHFRL1' 0.00015872739527711928]
['RP11-679B17.1' 0.0001583432912338529]
['ZNF18' 0.00015808004238196448]
['ZFAND2A' 0.00015796362110740786]
['SLC27A2' 0.0001575571955229248]
['DUSP22' 0.0001575217323526913]
['CHD4' 0.00015686195975959602]
['ENOSF1' 0.00015652819819991632]
['SNX9' 0.00015628176431862012]
['RNF128' 0.00015623236231273864]
['TNIK' 0.0001561849217796005]
['MAP4K5' 0.0001557335857624658]
['SPTLC3' 0.00015567526586710711]
['PCTP' 0.00015549972364965715]
['HSPA6' 0.00015488726672242218]
['AARS2' 0.00015487204929775055]
['NMT2' 0.00015428473275904507]
['RRP1B' 0.00015402780989278776]
['UBE2D4' 0.00015373558446992383]
['SPG21' 0.00015361640107298296]
['MMD' 0.00015333683910072058]
['ZMYND19' 0.0001530690126937973]
['FLJ32214' 0.0001529631139986069]
['ORMDL3' 0.00015280072678383464]
['SLC39A6' 0.00015268679914520676]
['RUNX3' 0.00015263902804663913]
['IL8' 0.00015197589618800992]
['TNRC15' 0.0001516870973956483]
['MGC10981' 0.00015163997300008961]
['CMTM4' 0.0001515546906403466]
['TFIP11' 0.00015148794846743925]
['HHEX' 0.0001513251236789351]
['AP2M1' 0.0001512736270885235]
['OR8H2' 0.00015125688097681922]
['ANGEL2' 0.00015110242914193362]
['SF3B3' 0.0001509063350256576]
['C6orf115' 0.00015084926823674281]
['ATP2C1' 0.00015079163379672192]
['C8orf31' 0.00015045539333618027]
['BRD9' 0.00015032328915651642]
['MRPL32' 0.00014985795091503864]
['SEMA4C' 0.0001497388269979412]
['JAK3' 0.00014968518460561762]
['TOMM34' 0.00014964343031798343]
['POPDC3' 0.00014903591312089476]
['HIST1H2BD' 0.00014894197561319799]
['S100A5' 0.00014856184487579044]
['SF3B2' 0.0001483462328879936]
['GSDML' 0.00014811194661295255]
['SMARCD3' 0.00014810919810594376]
['SDCCAG3' 0.00014810352389456812]
['C20orf42' 0.00014802857429128716]
['C6orf151' 0.0001479944771057882]
['RBM42' 0.0001477500669924487]
['CDON' 0.00014755527195773764]
['TAS2R49' 0.00014723387094129565]
['PTH' 0.0001471855585628916]
['LPIN1' 0.00014664902067520983]
['PCTK1' 0.00014648343450154844]
['TUBE1' 0.0001463828078150526]
['WBSCR17' 0.000146331698223985]
['CCDC54' 0.00014623815236210704]
['DIAPH3' 0.00014611231337816478]
['AP3M1' 0.000146098592313961]
['RHOH' 0.00014608172688692717]
['INTS8' 0.0001459518695234262]
['CCM2' 0.00014566344934727966]
['TMPRSS3' 0.0001456256222043182]
['PER3' 0.00014555486050850345]
['DYNC2H1' 0.00014546562351117987]
['BTLA' 0.00014533037532028865]
['NRSN1' 0.0001453133728569218]
['TTLL4' 0.00014525035090336608]
['CXorf15' 0.00014509696813484355]
['C11orf49' 0.0001449291326030001]
['C10orf11' 0.00014446858591906685]
['NFKBIE' 0.00014416218415861154]
['HTRA3' 0.00014392745166951504]
['QSER1' 0.0001435580006466225]
['TSPYL5' 0.00014355382410239344]
['GDPD1' 0.0001433786243602117]
['SOSTDC1' 0.00014323690424867635]
['C9orf153' 0.00014319730677859094]
['YLPM1' 0.00014313197191218136]
['ZNF24' 0.00014293944298120057]
['RTN3' 0.00014262750833264872]
['CD151' 0.00014255743912260514]
['ZNF587' 0.0001425349549240018]
['POLR2E' 0.00014208514336044224]
['TARBP1' 0.0001418496884211148]
['C6orf1' 0.00014181324831543225]
['FIBIN' 0.00014153784095159084]
['DDX10' 0.000141264709046686]
['ID2' 0.00014093366783260553]
['NPEPPS' 0.0001407166046421944]
['SPG20' 0.00014049951559268095]
['ARFGEF1' 0.00014041661216614856]
['MLL3' 0.00014031769854594626]
['TGOLN2' 0.00014024024184978933]
['NOL8' 0.00014022306959282995]
['GPR109B' 0.00014001552334373953]
['EIF2S3' 0.00013990286814970728]
['MRPS18A' 0.00013955213328431412]
['KIAA2026' 0.00013934817419490773]
['MAD2L1BP' 0.0001393413434871052]
['VEPH1' 0.00013887075978711677]
['PLCG2' 0.00013871256880873702]
['STX6' 0.00013855961049005257]
['GPR82' 0.00013840630731578032]
['LRP10' 0.00013791883608905018]
['TNKS' 0.00013768906828292353]
['GPRC5C' 0.00013765775434340918]
