,gene,mean,SD
13611,SLC25A31---Cluster1,0.9906727487190949,0.002829281497437347
9616,MYO9B---Cluster2,0.9904868208751856,0.0034552551344195397
2618,CCDC79---Cluster1,0.9889201001649064,0.00786503643938466
14553,SYCP3,0.988884471115476,0.0024950715429468318
6775,HIST3H3---Cluster1,0.9888408063884829,0.003823775114378217
2321,CABP4---Cluster1,0.9886702603563016,0.020201126830497303
3105,CHFR---Cluster3,0.9885336805181244,0.002575311660419433
15753,TUBA3D---Cluster2,0.9885011651274092,0.0066789592460913755
1158,AUP1,0.9874861951797912,0.005865614011393184
4252,DLGAP1---Cluster1,0.9865274236583332,0.01011403809204435
4298,DMRTB1---Cluster2,0.9863170486617452,0.009166068547371986
3783,CTU1---Cluster1,0.9860417522580618,0.0075951134880598535
1613,C12orf12---Cluster2,0.9859731175351916,0.01686314911000061
15695,TSTD1---Cluster2,0.9852362138700508,0.0087465878592555
9624,MYOG,0.9851836798087826,0.008345662380278972
10857,PEG10---Cluster4,0.9849177306129968,0.006933949221961375
4359,DND1,0.9843442897674012,0.006559321328986478
16668,ZMYND15,0.984185779330284,0.009118982988791605
204,ACTL7B,0.9835511952615226,0.020115512616985142
12364,RCVRN---Cluster1,0.9831036932942842,0.031147065092496824
1349,BHLHA15---Cluster1,0.9827089961410624,0.021268007947640902
2619,CCDC79---Cluster2,0.982424195768259,0.007235804385545508
8611,LYPD4---Cluster1,0.980410218383474,0.044050436729740856
15754,TUBA3E---Cluster1,0.980042960630597,0.013991162420192884
9615,MYO9B---Cluster1,0.9795192863258164,0.00808743883962835
9180,MLXIPL,0.979222048585512,0.023652398667561792
4297,DMRTB1---Cluster1,0.9791921283377706,0.011175010608941232
2477,CASQ1---Cluster1,0.9786297532670359,0.011539502745165565
102,ABRA---Cluster2,0.9783881064169412,0.023989522458598426
9265,MOV10L1---Cluster1,0.9780803786686508,0.0465677288179286
1946,C20orf177,0.9778800438441624,0.05942137493737165
6726,HIST1H1T---Cluster1,0.9775628681218974,0.007417459022465194
5754,FZR1---Cluster1,0.9775441625252279,0.027096845065790624
