SPG21	[0.14832344 0.00042383]
CBL	[0.14569719 0.00053679]
KRT8P12	[0.14151468 0.00077579]
SCRG1	[-0.14123618  0.00079477]
ERCC5	[0.13956795 0.00091777]
IRF4	[-0.13820006  0.00103151]
SF3B2	[0.13497577 0.00135295]
CCR3	[-0.13373532  0.00149947]
PA2G4	[0.13327066 0.00155801]
PDHA1	[0.13315258 0.00157321]
PDCD4	[0.13261689 0.00164393]
QSER1	[0.131692   0.00177292]
C10orf49	[-0.13066229  0.00192741]
ARSB	[-0.13050111  0.00195268]
RGS18	[-0.12956582  0.00210539]
TFEC	[-0.12889007  0.00222243]
SLAMF7	[-0.12876125  0.00224541]
RGMB	[-0.12825251  0.00233828]
RFXDC2	[0.12807971 0.00237062]
MTFMT	[0.1280762  0.00237128]
PPP2R2D	[0.12801542 0.00238276]
NAT10	[0.12767805 0.00244737]
CD80	[-0.12757042  0.00246831]
C16orf45	[-0.12702592  0.00257681]
SPOCK1	[-0.12674689  0.00263408]
PPME1	[0.12621797 0.00274584]
C11orf2	[0.12606429 0.00277911]
ATP5B	[0.125514   0.00290128]
SYT14L	[-0.12549278  0.00290609]
MBNL2	[0.12548766 0.00290725]
STK24	[0.12532485 0.00294439]
ZNF215	[-0.12517107  0.00297987]
PSMA8	[-0.12485826  0.00305324]
IGKV1-5	[-0.12443553  0.003155  ]
CCL8	[-0.12399522  0.00326426]
NRSN1	[-0.12371612  0.00333529]
CNOT1	[0.12347052 0.00339895]
POPDC3	[-0.1234386  0.0034073]
ZW10	[0.12294343 0.00353931]
NPAT	[0.12261241 0.00363013]
FAM105B	[-0.1222301   0.00373764]
CLPX	[0.1222216  0.00374006]
MGC87042	[-0.12214493  0.00376198]
WTAP	[-0.1216995   0.00389165]
CDC16	[0.12143042 0.00397192]
GPR85	[-0.12116002  0.0040541 ]
ZDHHC14	[-0.121085    0.00407717]
JRKL	[0.12107736 0.00407952]
FARP1	[0.12090994 0.00413146]
SNX5	[0.12036811 0.00430369]
PLVAP	[-0.12036278  0.00430542]
CLYBL	[0.12027443 0.00433412]
FAM134C	[-0.12007536  0.00439943]
MGC29506	[-0.11995283  0.00444006]
LOC399818	[0.11960497 0.00455729]
AFG3L2	[0.11942412 0.00461933]
SNX10	[-0.11936109  0.00464113]
TNP2	[-0.11927648  0.00467054]
NIPA1	[-0.11926108  0.00467591]
STRBP	[0.1190686  0.00474352]
HGF	[-0.11876391  0.00485235]
DAAM2	[-0.11848498  0.00495394]
ZNF642	[-0.11835166  0.00500317]
NXF1	[0.11781043 0.00520761]
SLC25A25	[0.11773271 0.00523757]
UPF3A	[0.11758262 0.00529588]
C1orf111	[-0.11751304  0.00532311]
RP11-679B17.1	[-0.1172029   0.00544603]
LMO3	[-0.11700255  0.00552678]
ADAMDEC1	[-0.11697154  0.00553937]
XYLT2	[-0.11690825  0.00556516]
ADAD1	[-0.11690446  0.0055667 ]
NXNL2	[0.1168941  0.00557094]
PTDSS1	[0.11687747 0.00557774]
IGFBPL1	[-0.11678891  0.00561407]
GRLF1	[0.11677795 0.00561859]
POPDC2	[-0.11651887  0.00572619]
SURF6	[0.11649608 0.00573574]
SFRS2B	[0.1163961  0.00577782]
FPRL1	[-0.11639212  0.0057795 ]
RELL2	[-0.11620721  0.00585808]
OR52E8	[-0.11550365  0.00616593]
MATN3	[-0.11527737  0.00626798]
PINX1	[0.11507641 0.00635988]
FLJ40504	[0.11504426 0.00637469]
KMO	[-0.11489983  0.00644163]
BSG	[0.11476002 0.00650703]
DDX10	[0.11453132 0.00661528]
TCFL5	[-0.11447768  0.0066409 ]
PPP2R1A	[0.11445682 0.00665089]
ID2	[-0.11443993  0.00665899]
BCOR	[0.11410192 0.00682291]
RGL2	[-0.11400537  0.00687039]
SFRP2	[-0.11381726  0.00696375]
SAFB	[0.11361042 0.00706771]
KIAA1731	[0.11321682 0.0072694 ]
CCND3	[-0.11316871  0.0072944 ]
CCR2	[-0.11296975  0.00739862]
CTTN	[0.11289831 0.00743636]
LHFPL2	[-0.11230738  0.00775523]
HIPK3	[0.11227083 0.00777535]
MLL	[0.1121418  0.00784675]
ELAVL4	[-0.11211549  0.00786138]
RUNDC1	[-0.11207351  0.00788477]
SOX5	[0.1119394  0.00795992]
TM9SF2	[0.1118901  0.00798771]
CD38	[-0.1118762   0.00799556]
C21orf45	[0.1118174  0.00802884]
ASRGL1	[0.11164531 0.00812696]
BCAT1	[-0.11163181  0.0081347 ]
ATP5A1	[0.11161411 0.00814487]
FLJ25371	[-0.11157338  0.00816829]
CLEC4E	[-0.11150876  0.00820558]
GOLSYN	[0.11106156 0.00846782]
ARCN1	[0.11095925 0.00852886]
PIK3AP1	[-0.11095048  0.00853412]
CENTD2	[0.11089666 0.0085664 ]
DISC1	[-0.11061591  0.00873657]
MGC13008	[-0.11058188  0.0087574 ]
PKD1L1	[-0.11040513  0.00886631]
HSPBP1	[0.11017206 0.00901177]
MRPS18A	[-0.11016948  0.00901339]
DET1	[0.11016217 0.00901798]
CMKLR1	[-0.11010402  0.00905463]
CD48	[-0.11003849  0.00909608]
TLR6	[-0.10995012  0.00915224]
COL24A1	[-0.10971919  0.00930048]
LONRF2	[0.10968912 0.00931994]
OR52K2	[-0.10956752  0.00939899]
JOSD3	[0.10953692 0.00941898]
KBTBD10	[-0.10925813  0.00960284]
RASSF4	[-0.10922135  0.00962733]
KLC1	[0.10920929 0.00963538]
SET	[0.10890251 0.00984199]
DKK2	[-0.10889116  0.00984971]
CHST12	[-0.10881893  0.00989896]
RRAGD	[-0.10870178  0.00997931]
UCP2	[0.10843504 0.01016442]
QPCT	[-0.10840523  0.01018529]
MSTN	[-0.10828258  0.01027158]
FLJ46111	[0.10812035 0.0103867 ]
XKR4	[-0.10797168  0.01049321]
FOSB	[0.10786616 0.0105694 ]
HTATIP	[0.10785903 0.01057456]
BMPER	[-0.10783818  0.01058969]
PRKRIR	[0.10773174 0.01066716]
ZNF592	[0.10765213 0.01072543]
TFCP2	[0.1074543  0.01087147]
MMP9	[-0.10742699  0.01089178]
UGT3A2	[-0.10737285  0.01093211]
ENO1	[0.10718206 0.01107532]
ZNF454	[-0.10714501  0.01110333]
FAM49A	[-0.10701426  0.01120265]
RBBP7	[0.10700545 0.01120937]
SLC13A3	[0.10698183 0.01122741]
TDP1	[0.10692549 0.01127053]
SIX2	[-0.10685888  0.0113217 ]
PDE5A	[-0.1068473   0.01133062]
CKB	[0.10683072 0.0113434 ]
INTS6	[0.10679992 0.01136717]
HSP90AA1	[0.1067932  0.01137237]
DPF2	[0.10677884 0.01138347]
WISP1	[-0.10672438  0.01142567]
ZNF776	[0.10672158 0.01142784]
ISYNA1	[0.10668125 0.01145918]
KIAA0644	[-0.10658304  0.01153583]
GFRAL	[-0.10653011  0.01157732]
KIAA1370	[0.10634199 0.01172586]
KCNA2	[-0.10605502  0.01195571]
PRPF31	[0.10605059 0.01195929]
MAP3K7IP3	[0.10600603 0.01199534]
SORD	[0.10598885 0.01200928]
EIF3M	[0.10597903 0.01201724]
TBCC	[-0.10593144  0.01205592]
PSTPIP2	[-0.10586003  0.01211416]
REXO2	[0.10585721 0.01211646]
BVES	[-0.10580916  0.01215579]
F5	[-0.10572108  0.01222819]
SLCO2A1	[-0.10567776  0.01226394]
LRRC8C	[-0.10563138  0.0123023 ]
KCNN2	[-0.1055805   0.01234453]
SYT14	[-0.10546193  0.01244341]
RTN3	[0.10543395 0.01246684]
S100B	[-0.10539931  0.01249591]
CSTF3	[0.10537885 0.01251311]
DYRK4	[-0.10536829  0.01252199]
ECHS1	[0.10532524 0.01255827]
CCDC44	[-0.10523405  0.01263541]
ALKBH3	[0.10519891 0.01266526]
C1orf190	[-0.10510551  0.01274487]
FLJ32214	[-0.10503468  0.01280554]
NR4A2	[0.10502774 0.0128115 ]
LDHA	[0.1049768  0.01285531]
KIAA1305	[0.10495312 0.01287572]
MARK3	[0.10479795 0.01301017]
TNFRSF17	[-0.10475506  0.01304755]
LOC440295	[0.10475102 0.01305108]
PDE4B	[-0.10473827  0.01306221]
ESF1	[0.10469198 0.0131027 ]
HERPUD2	[-0.10465006  0.01313946]
RGS19	[-0.10463996  0.01314834]
PTPRO	[-0.10459771  0.01318551]
NOL8	[0.10456849 0.01321126]
TLR2	[-0.10449357  0.01327751]
FLJ10769	[0.10436779 0.01338939]
GNAL	[-0.1043116   0.01343964]
TPP2	[0.1042161  0.01352542]
CCR6	[-0.10418038  0.01355763]
PTPRS	[0.10409616 0.01363384]
SERAC1	[-0.10407256  0.01365526]
TMEM16A	[0.10398737 0.01373285]
HAAO	[-0.10394315  0.01377327]
C6orf47	[-0.1038927   0.01381951]
SMPDL3A	[-0.10380538  0.01389988]
ANP32B	[0.1036202  0.01407168]
S100A12	[-0.10361785  0.01407386]
FKBP1A	[0.10345107 0.01423021]
IGSF6	[-0.10335071  0.01432502]
SAPS3	[0.10329767 0.01437536]
UBTD2	[-0.10328854  0.01438404]
TRIP11	[0.10324494 0.01442554]
NOLC1	[0.10320398 0.01446464]
HNRNPL	[0.10316208 0.01450473]
IRF5	[-0.10313124  0.0145343 ]
PDCD11	[0.10309408 0.01457001]
CLEC4D	[-0.10292357  0.0147348 ]
TMEM22	[-0.10281949  0.0148362 ]
C11orf51	[0.10253272 0.01511876]
SNX1	[0.10252224 0.01512917]
DLL1	[-0.10251418  0.01513719]
SAFB2	[0.10245828 0.01519287]
GTPBP2	[-0.10233551  0.0153158 ]
MGC10850	[0.10224803 0.01540393]
CWF19L2	[0.10221353 0.01543881]
OAZ2	[0.10196071 0.01569652]
FCRL5	[-0.10173395  0.01593086]
KIAA0895	[-0.10170447  0.01596155]
IER2	[0.10170031 0.01596589]
CSNK1G1	[0.10162714 0.0160423 ]
KRT8	[0.10161661 0.01605333]
CHORDC1	[0.10156773 0.01610459]
CLEC4A	[-0.10142782  0.0162521 ]
RSL1D1	[0.10139002 0.01629215]
MST150	[-0.10128322  0.0164058 ]
PXDN	[-0.10115343  0.01654484]
DTNA	[-0.10115001  0.01654852]
MCTP1	[-0.10105638  0.01664948]
OPN1SW	[-0.10103813  0.01666923]
PXT1	[-0.10096159  0.01675224]
PARC	[-0.10095718  0.01675703]
SPZ1	[-0.10089552  0.0168242 ]
RAB23	[-0.10085218  0.01687154]
FBXL17	[-0.10074072  0.01699384]
GLRX2	[-0.10073159  0.0170039 ]
SEMA3B	[0.10058962 0.01716088]
INTS9	[0.10056862 0.01718421]
KLF4	[0.10051329 0.01724581]
ITGA8	[-0.10042433  0.01734525]
NAGLU	[-0.1002705   0.01751839]
KLF10	[0.10004882 0.01777055]
PTPRA	[0.09999817 0.01782861]
KIAA1486	[-0.09992782  0.01790952]
CD86	[-0.09991569  0.0179235 ]
TRAF1	[-0.09988883  0.0179545 ]
LAT2	[-0.09984751  0.01800229]
AGPAT5	[0.09984206 0.01800859]
CCDC36	[-0.09967484  0.01820315]
FAM27E3	[-0.0994727   0.01844078]
XRCC5	[0.09946441 0.01845057]
WIPF1	[-0.09935139  0.01858467]
LTB4DH	[0.09931339 0.01862996]
CMAH	[-0.09930844  0.01863586]
C14orf159	[0.09926837 0.01868372]
TNFSF13B	[-0.09922015  0.01874147]
C6orf1	[-0.09920737  0.01875679]
UBE4A	[0.09918708 0.01878115]
TEX10	[0.09915501 0.01881971]
