['ULK1' 0.0019135309133567278]
['C1orf111' 0.0016931286281244282]
['MAMDC4' 0.0016556178977542514]
['RAB5C' 0.0013416075601077194]
['ALG10B' 0.0013368068521330031]
['KIAA1602' 0.001277859333389365]
['DNAJC7' 0.0012349028327573465]
['CROCCL2' 0.0011205446162452436]
['SF3B14' 0.0011056612911746102]
['BAHD1' 0.00109798709947917]
['WDR31' 0.001064675723148737]
['KLHL21' 0.0010580097757156189]
['FAM118B' 0.001002271974565067]
['REXO1L1' 0.0009707007674213646]
['SEMA4C' 0.0009274156865674095]
['NFAT5' 0.0008727877938014812]
['FAM63B' 0.0008698143737367995]
['OR5AR1' 0.000858637291196952]
['LATS2' 0.0008528218724314125]
['ART3' 0.0008523200004207553]
['WDR72' 0.0008300416939422495]
['LOC339047' 0.0008085489056585164]
['PRDX3' 0.0007988822416320578]
['DLL4' 0.0007704483446908646]
['DMC1' 0.0007540833905231702]
['ARR3' 0.0007403268829663503]
['IL17RE' 0.0007326827839754472]
['FDPSL2A' 0.0007226509446425541]
['NOS3' 0.0007030700126548666]
['OR10A2' 0.0006776345943322764]
['KCNJ8' 0.0006732960811420014]
['SLC6A1' 0.0006510692340744404]
['AGRN' 0.0006354704611597867]
['CCNT1' 0.0006249390370768863]
['ELA2' 0.0006218120875819162]
['CARD9' 0.0006215823582608474]
['PLK3' 0.0006175226420875526]
['CMTM4' 0.0006060335962688192]
['C11orf46' 0.000601287355873797]
['GCN1L1' 0.0005971675766017197]
['ARL4C' 0.0005933163305558765]
['RSPH1' 0.0005816997848233875]
['LBA1' 0.0005814023271231164]
['PPFIBP1' 0.0005758401787340597]
['CENPK' 0.0005714370347669839]
['GUSBL1' 0.000570845682168933]
['ABLIM2' 0.0005685437695089675]
['GPR158' 0.0005499246752604419]
['RFTN1' 0.0005492357265886631]
['CHN1' 0.0005462297122722129]
['RFX4' 0.0005456739207147653]
['HSD17B7P2' 0.0005367379946617198]
['EID1' 0.0005299171005678901]
['GRM5' 0.0005250526375367703]
['CHRM5' 0.0005235356156334827]
['FAM35A' 0.0005175409291650123]
['SLC24A4' 0.0005156298196141564]
['ZNF746' 0.0005129647427434557]
['PLOD3' 0.0005035700950703112]
['PPIH' 0.0004979672121160757]
['YTHDF2' 0.0004954145236913973]
['ARPC4' 0.00049535571433082]
['LELP1' 0.0004943178312565012]
['C21orf94' 0.0004907740705973563]
['TNFAIP3' 0.0004905065125789322]
['NBPF20' 0.0004902434610241679]
['FOSL2' 0.0004889609162370358]
['FAM12B' 0.0004886097818682139]
['LYRM2' 0.0004876166624710193]
['RP11-218C14.6' 0.000486182920605784]
['TRPT1' 0.0004826786945392401]
['CSDA' 0.00048129209625720064]
['TCL6' 0.0004802706259185094]
['ERC1' 0.000476132128901254]
['CFHR1' 0.0004759282517254274]
['PART1' 0.0004750522555446433]
['EGF' 0.0004727161236929275]
['C18orf17' 0.00047000342897299496]
['CENTG3' 0.00046986945172971926]
['LOC93622' 0.00046567408853515275]
['PIGF' 0.00046519113115855396]
['DDEFL1' 0.00046455855655908924]
['FAM5B' 0.0004643882386567538]
['PPIAL4' 0.00046238786990569455]
['KIF9' 0.0004618487571786823]
['LRP2' 0.00046171550405624446]
['ZNF41' 0.0004613171086731248]
['ZNF609' 0.00045976338298124586]
['C9orf53' 0.0004595064545114281]
['TRPM5' 0.0004587757562931623]
['RIPK4' 0.0004580897242177797]
['LAMB2' 0.00045761292614539636]
['THOC7' 0.00045718388811615836]
['MTF1' 0.0004538277324913199]
['CCDC109A' 0.00045153239645460356]
['GCS1' 0.0004509448339210127]
['PIH1D2' 0.0004505247002747575]
['FSCN1' 0.0004499567770127756]
['ZAK' 0.0004476534410017565]
['NTF5' 0.0004449494724998521]
['PACS1' 0.0004421442643637033]
['EXOSC7' 0.00044207625389039017]
['C5orf15' 0.0004419804922683972]
['PRAME' 0.00044081052464387693]
['TNRC15' 0.0004352211610165071]
['DYRK1A' 0.00043474993681890257]
['KRT72' 0.00043132140662777466]
['REXO4' 0.0004311644428368753]
['FAM127A' 0.00043083416668137736]
['CPSF3L' 0.0004302824792561881]
['FLJ31568' 0.0004279627609509227]
['SLC35B1' 0.00042739456001757636]
['PASD1' 0.00042707307968006336]
['TMPRSS3' 0.0004243353726286343]
['PYGO1' 0.00042206230428955965]
['PSPN' 0.0004219668933668465]
['UGT3A1' 0.00041983981653047315]
['FRG1' 0.0004177991619016964]
['PFKFB4' 0.0004162251529491197]
['MAP7D3' 0.0004154227708621307]
['GP5' 0.00041270095238244776]
['CUL7' 0.000411868490430381]
['FKBP9' 0.00041040929897673517]
['ESPL1' 0.0004085970490676551]
['STAT6' 0.00040842927921942154]
