['GSDML' 0.0008714189998529756]
['THOC1' 0.0007822987413855536]
['PIGA' 0.000645488523074222]
['ASRGL1' 0.0006057456805316215]
['ADAM28' 0.0005930157074926516]
['GOLSYN' 0.0005594405604086544]
['RGN' 0.0005047083724612846]
['ARMETL1' 0.00046966626463913253]
['PRPS2' 0.0004538631390041473]
['CDC37L1' 0.0004445644337720146]
['C8orf31' 0.0004323315683575509]
['TRIP10' 0.0004230842276085286]
['LOC441108' 0.00041893590573147886]
['CAPRIN1' 0.000412858509473025]
['AARS2' 0.00040989647569598253]
['SALL1' 0.0004086253008417987]
['CNOT3' 0.00040220500858675505]
['SEMA4A' 0.0003819316402605583]
['CCR3' 0.00037831286077850306]
['MCM4' 0.00037012642358991615]
['HIST1H2BD' 0.00036556692172658536]
['USP14' 0.000363359916840699]
['CHST12' 0.0003619662281401308]
['CLEC4D' 0.0003591433471691026]
['KIAA1822L' 0.000358755982067601]
['HOXC4' 0.00035533587403136445]
['FLOT1' 0.0003546502048360483]
['DISC1' 0.0003517505924297365]
['POLA1' 0.0003503206681384587]
['LAX1' 0.0003496292656323395]
['EFCBP2' 0.00034814528057786217]
['C1orf190' 0.0003480727801899817]
['GCS1' 0.0003467360650042106]
['OR4N5' 0.0003456974030631193]
['LANCL3' 0.00034528282120622865]
['CCR6' 0.00034466412235245136]
['GDF11' 0.00034379282145216816]
['WTAP' 0.0003345838329838342]
['C6orf49' 0.00032883537946925965]
['CLTA' 0.0003211484135006821]
['C9orf153' 0.0003209397040844749]
['RTN3' 0.00031868272167195904]
['RIMS1' 0.00031846880014064767]
['TCP11L1' 0.00031764019553288936]
['TUBE1' 0.0003172252456583525]
['DLAT' 0.0003131619541523359]
['PHOSPHO1' 0.00030674430825734485]
['PLTP' 0.0003050384875241017]
['ADCY5' 0.00030251675960882036]
['AFG3L2' 0.00030076855030270177]
['RGL2' 0.00029801869250044224]
['C20orf69' 0.0002974560182445396]
['TLN2' 0.00029536310875437734]
['SSB' 0.00029494001383768343]
['MCPH1' 0.00029429481822693435]
['SNCA' 0.00028881607317798793]
['SGMS2' 0.00028699774589195117]
['C6orf47' 0.0002857774117175169]
['SLC35B2' 0.0002846662747640657]
['MAN2B1' 0.0002836497056615038]
['COL9A2' 0.00028098055670261837]
['OSTN' 0.0002798728501573088]
['C16orf52' 0.0002786895781147523]
['SMC3' 0.00027706906713538185]
['PAX8' 0.00027706199115688416]
['C10orf11' 0.0002770330644030615]
['LOC653391' 0.00027566903644357725]
['FAM46D' 0.0002750393892303768]
['ZNF282' 0.0002747628919462264]
['HOXB4' 0.00027365738893044575]
['CCDC134' 0.00027334766766121143]
['RHOH' 0.00027333325193144414]
['KIAA0196' 0.0002724887627902954]
['UBE4A' 0.0002724001164370299]
['S100A5' 0.00026937737577672506]
['CAPN3' 0.0002692980543671415]
['INSIG1' 0.00026866542204964574]
['RNF20' 0.000266108592987947]
['KIAA1618' 0.0002660378922143656]
['LEMD1' 0.00026539973900696623]
['ZNF789' 0.0002631221016787465]
['CCNG2' 0.00026296835590603623]
['NDC80' 0.00026194075255503]
['C11orf58' 0.0002618614873220455]
['ZFP36L1' 0.00026089054230159236]
['LOH3CR2A' 0.00025978944617726496]
['OR2AE1' 0.00025899443550979367]
['GPRC5C' 0.0002584799854811395]
['SCGB1C1' 0.00025788390458153406]
['RNF212' 0.0002575835409352711]
['ZNF24' 0.00025752315526911517]
['KCND2' 0.0002564803201907553]
['ARRDC1' 0.0002560272968716331]
['TPP1' 0.0002557083346179435]
['PHF1' 0.00025527800012582985]
['BDKRB2' 0.00025495191340840474]
['KLK5' 0.00025493045367536664]
['FRAG1' 0.0002545595779769504]
['RCAN1' 0.0002542629346218458]
['PDGFRB' 0.00025378680159757823]
['TST' 0.0002536488411518494]
['SLC6A14' 0.00025318998631566425]
['BLVRB' 0.0002524145244736314]
['PAX2' 0.000252342797443864]
['C22orf25' 0.0002515023655679779]
['SLC25A46' 0.00025112592954787584]
['ATOX1' 0.00025107015328503066]
['FLJ20699' 0.0002508327176846423]
['C6orf156' 0.00025050948981584484]
['TSNAX' 0.00025030986758860593]
['AS3MT' 0.0002501027194157628]
['NPAT' 0.0002479839746648534]
['MGC13008' 0.00024763241040628444]
['NDUFB2' 0.0002472450263446218]
['TMEM92' 0.0002471609145434773]
['MYBL1' 0.0002468917247018156]
['PGBD4' 0.00024638787789202956]
['MYOZ1' 0.00024594646882508203]
['GSN' 0.00024585128601151477]
['SPG21' 0.00024557427287954213]
['XPA' 0.00024553453441626964]
['FUS' 0.0002452174735253792]
['SMC1B' 0.00024451030553230977]
['PLCZ1' 0.00024450706405927463]
['LRFN3' 0.00024349073615249648]
['RGMB' 0.00024272958400970335]
['NUB1' 0.00024261506309098305]
['CSPP1' 0.00024219082202363464]
['TMEM27' 0.0002412912373600585]
['C9orf19' 0.00024034551364979296]
['ZNF274' 0.00023923932446094192]
['YBX1' 0.0002381036044279841]
['FBXL21' 0.00023764948804965328]
['PRIC285' 0.0002364924725617205]
['MARCH11' 0.00023605392100944735]
['IRAK1' 0.00023599625455140993]
['C14orf162' 0.00023588094312278644]
['PBX3' 0.00023583091821661334]
['ZNF544' 0.0002353870569958975]
['CLPX' 0.00023535187728533535]
['GPATCH4' 0.0002342593394485299]
['LYVE1' 0.00023416055876108904]
['LOC136288' 0.0002340616792746449]
['GPS2' 0.00023380676474944547]
['HNRPUL2' 0.00023286346138085874]
['BSG' 0.00023256318136462764]
['SMCHD1' 0.0002323225292996198]
['C1orf101' 0.00023167463605034205]
['EIF3B' 0.0002316674821821175]
['C14orf65' 0.00023160103455857533]
['OXSR1' 0.00023153176994140045]
['TCF7L2' 0.00023148405581089698]
['GRHL2' 0.00023099279971876873]
['C1orf14' 0.00023094942307085825]
['ETV5' 0.00023036217654031377]
['FOXB1' 0.0002303556575749145]
['AP2M1' 0.00023033705571451333]
['LPIN1' 0.00022950926919335763]
['HSP90B1' 0.00022904134262933027]
['C13orf23' 0.0002286719818205951]
['C21orf99' 0.0002277306579001562]
['NTHL1' 0.00022688167951377935]
['VAMP8' 0.00022685405964264496]
['FBLN1' 0.0002264306237490779]
['ADPRHL2' 0.0002256712666752584]
['COX7B2' 0.00022450584495703314]
['UPF3B' 0.0002243878026613763]
['STARD3NL' 0.00022425527223344076]
['ING4' 0.0002241436470208769]
['RB1CC1' 0.00022393239804287675]
['SYT13' 0.00022355661331498422]
['SYT14L' 0.00022326657059954866]
['PCTK1' 0.00022321896254585277]
['CDC2L2' 0.00022272575628502864]
['CAPN13' 0.0002226070200700829]
['FHL1' 0.00022256658051365285]
['COX5A' 0.0002223378378974952]
['SEPT14' 0.00022233220528889607]
['DPY19L2P2' 0.0002222787597011009]
['LOC389517' 0.00022213308155034147]
['TBCC' 0.0002218417408443771]
['DOPEY2' 0.00022159353573387872]
['SCGB2A2' 0.00022148995254468566]
['CASK' 0.00022148512238032652]
['TFDP3' 0.00022111063298920486]
['PORCN' 0.00022064587250048828]
['PNPO' 0.00022059944321614917]
['OR52E8' 0.00022049733832521872]
['PPP2R1B' 0.00022040618656325018]
['LOC554207' 0.0002199838831489592]
['EAF1' 0.0002193262265107902]
['TRAF1' 0.00021920779396405972]
['TMEM123' 0.00021915455338640806]
['C5orf32' 0.00021836466407291826]
['GRRP1' 0.0002176833958837785]
['FAHD2A' 0.0002172251605554152]
['PDCD4' 0.00021714104726800295]
['XK' 0.00021712586595626224]
['ATP2C1' 0.0002169716822376887]
['EPB41L4A' 0.00021694654327539134]
['PELP1' 0.00021662458985665953]
['MED24' 0.00021634087276448845]
['NKX2-2' 0.00021576633110527449]
['GOLGA3' 0.00021562498196462296]
['QSER1' 0.00021554447055131327]
['TAS2R4' 0.00021527389408911306]
['PICK1' 0.00021501828229129682]
['DDX5' 0.00021491484788018414]
['DDX27' 0.00021472140302834113]
['PRPF19' 0.0002143687971620066]
['APOBEC3C' 0.00021414334250197047]
['PRNT' 0.00021410230527331363]
['TRIM35' 0.00021403808849802987]
['SDHD' 0.00021337551480079753]
['CBS' 0.00021335319970897532]
['SYT16' 0.00021334930323053733]
['ELOF1' 0.0002131723279674445]
['VCPIP1' 0.00021316194605862786]
['EXPH5' 0.00021299440355710314]
['SGTA' 0.00021287296910195804]
['ALDH18A1' 0.00021277667117027338]
['C20orf77' 0.0002124734750289866]
['THNSL1' 0.00021241861332467943]
['MAK' 0.00021214633484008404]
['SC4MOL' 0.00021201777163195134]
['C7orf23' 0.00021200125372151306]
['PRUNE2' 0.00021150856381073717]
['CADPS2' 0.00021146306123727952]
['HPDL' 0.00021123126536073532]
['DNAH5' 0.00021114148911010493]
['PIPOX' 0.00021112358285426446]
['ARL14' 0.00021110413598500826]
['SPINK7' 0.0002109102139730352]
['KRT6B' 0.00021082051055924765]
['HHEX' 0.00021048580380618077]
['HSF5' 0.00020972135198099723]
['FABP3' 0.00020961430536215803]
['NPM1' 0.0002094876248387913]
['C18orf45' 0.0002092586437818733]
['AMOTL2' 0.0002084327666109419]
['DIO1' 0.00020832159245209774]
['FOSL2' 0.00020817309569225184]
['EPHX2' 0.0002079619877413234]
['FTSJ1' 0.00020769253064497462]
['SCML2' 0.00020754685643524105]
['HHAT' 0.00020748654159713067]
['OR2H2' 0.00020744705933183725]
['MOBKL1A' 0.00020725831345586872]
['C22orf24' 0.00020710481600764153]
['LOC201164' 0.00020666680653042024]
['UQCRQ' 0.00020640635931517754]
['SNX11' 0.0002062695658376862]
['LRIG1' 0.00020619475166413668]
['VPS4B' 0.00020604005990583187]
['CHODL' 0.00020602134435472933]
['CMTM4' 0.0002059783441836364]
['CDYL' 0.00020569876923114006]
['SEMA4C' 0.00020568930553683962]
['SFRS11' 0.00020561635505814957]
['CPXCR1' 0.00020555077553554535]
['LOC401431' 0.00020483939253804158]
['ELN' 0.00020468176713486872]
['PCBP4' 0.00020440282522943894]
['C4orf34' 0.00020431092774286224]
['SF3B5' 0.00020429139663882202]
['RAD23A' 0.00020426081539098173]
['CIR' 0.00020395683519624003]
['ANXA9' 0.00020366307861696136]
['TTMA' 0.00020363578265397984]
['PINX1' 0.0002030624850132541]
['RNF168' 0.00020303856712334357]
['SP2' 0.00020281141145577064]
['RBBP7' 0.00020255313415824868]
['GBP4' 0.00020239649496373412]
['CFB' 0.00020192761254459908]
['ZNF77' 0.00020144404586518153]
['FNDC4' 0.00020132490817966037]
['TRPT1' 0.00020096748430281105]
['TAS2R10' 0.00020094986648085206]
['TGOLN2' 0.0002008595291946379]
['MIF4GD' 0.00020083737780465696]
['LOC440295' 0.00020076723552758035]
['DYNC2H1' 0.00020069964246825892]
['LHX1' 0.00020045724377061334]
['ALDH1A3' 0.000200227741963632]
['GCC2' 0.00020018452328169614]
['NDRG1' 0.0002001583553449819]
['DUSP1' 0.0001999020921364005]
['MTFMT' 0.00019982640562242384]
['OLAH' 0.00019936115963647014]
['TMEM9B' 0.00019934098897991925]
['AGPAT5' 0.00019932032658352897]
['VPS16' 0.00019925057149926013]
['ZNF551' 0.00019919857644164698]
['ALDH5A1' 0.0001987065055747796]
['CTSZ' 0.0001986796672993445]
['IRF4' 0.00019867849204217606]
['BAT4' 0.0001984683244953294]
['TNNT2' 0.0001982987825352788]
['CDRT4' 0.00019820910063846859]
['CHD1L' 0.00019789147038692042]
['SMC5' 0.00019787274926998344]
['GHRL' 0.00019787113923163492]
['C20orf58' 0.00019781560530406683]
['DKFZP586P0123' 0.00019772946698673238]
['YWHAB' 0.0001976375007274894]
['CNDP2' 0.00019757161924152813]
['HERC2P2' 0.0001974695419378314]
['MAP4K5' 0.00019745647246754945]
['CLEC2B' 0.00019725581923086473]
['NPPA' 0.00019724777203482456]
['ZDHHC3' 0.00019702194564763832]
['GADD45B' 0.00019691363217783832]
['ZNF585A' 0.00019686894367338225]
['NCOA3' 0.00019674239280636675]
['C18orf8' 0.00019664339534054885]
['TRIM41' 0.00019625875780329035]
['PDGFRL' 0.00019615619488799513]
['IGF1' 0.00019610754741876835]
['PPP3R1' 0.00019609151699626637]
['IKZF4' 0.0001959701914817042]
['CSRP1' 0.00019555948947406888]
['SPATA2' 0.00019505186618820532]
['JDP2' 0.00019464236980264304]
['HTATSF1' 0.00019435018823187505]
['FOS' 0.00019392937034612027]
['GCM1' 0.00019351566044380398]
['SLC39A6' 0.00019349066132600044]
['CTB-1048E9.5' 0.00019347985707107848]
['VPS41' 0.0001931613929703383]
['PALM2' 0.00019305400605215293]
['SPAST' 0.00019280685268861127]
['ZNF233' 0.00019277239850513665]
['GAD2' 0.0001926924712382475]
['MMD' 0.0001926736847613859]
['FGFBP1' 0.0001926434269562416]
['RAD51AP1' 0.0001926177980603866]
['CHST9' 0.00019221526427470724]
['CNOT1' 0.00019218653265883146]
['PPIL1' 0.00019212757575371543]
['LYPLAL1' 0.00019148986998310423]
['NIPSNAP3A' 0.0001913887800882653]
['F12' 0.0001913471780007409]
['OR1L1' 0.00019124652991756423]
['DOK4' 0.00019096431492518745]
['DDX10' 0.00019083575735873474]
['RAB2A' 0.00019075154671833257]
['PRAF2' 0.0001903577777710121]
['PLEKHM1' 0.00019017105814828235]
['TMPRSS3' 0.0001901420778471377]
['PCMT1' 0.00019007108266678703]
['ATPAF1' 0.00018991412542294667]
['ADIPOQ' 0.00018950727573520195]
['C12orf64' 0.0001895058797495087]
['AKAP6' 0.00018947475120985186]
['GBA' 0.000189397803516557]
['AGR3' 0.00018930143094530186]
['CYP2C8' 0.00018912808046768787]
['PRPF31' 0.00018896853177410438]
['SLC9A3R1' 0.00018883694181673864]
['KIAA1147' 0.00018855851707205083]
['DOK5' 0.00018844214558926182]
['TMEM105' 0.00018817790721143733]
['GPM6B' 0.00018809391495764477]
['XKR4' 0.00018802236287086864]
['EYA4' 0.00018760370596111715]
['HDAC8' 0.0001875400815039892]
['BTN2A1' 0.00018712762493244467]
['C1RL' 0.00018707311266103898]
['ZNF14' 0.00018683421212102485]
['OR51I1' 0.00018669802967938062]
['DVL3' 0.00018659926999786792]
['CTPS2' 0.00018656428934799629]
['CDC123' 0.00018649739047593253]
['SLC25A44' 0.00018643541078616698]
['NOL5A' 0.0001863846046015017]
['SSR4' 0.0001862553827315392]
['LYZ' 0.00018570606119542348]
['TCEAL8' 0.0001855943895849128]
['C4BPA' 0.0001855509689654683]
['ACVRL1' 0.00018544688076350407]
['SPATA1' 0.00018542353562321813]
['C7orf10' 0.0001853434350815592]
['CTNNA1' 0.00018533953387591507]
['DHX30' 0.0001843385633674104]
['SNF8' 0.00018432882105318235]
['ANXA6' 0.0001839593403221361]
['HSPA2' 0.000183917130826168]
['SYAP1' 0.00018363553664632503]
['SAMD13' 0.0001836299935123148]
['PLRG1' 0.00018358426258059635]
['CYP2U1' 0.00018345116207270633]
['SERINC3' 0.00018340565563322952]
['SYT6' 0.00018332958448647984]
['BTBD7' 0.00018325320075298658]
['FLJ10081' 0.00018310982368091204]
['CXorf59' 0.00018305418300332667]
['KIAA0265' 0.00018290973610196213]
['STX5' 0.0001826315368692732]
['KLF10' 0.00018262895005587018]
['SLC6A8' 0.0001825087471248753]
['ATF7IP' 0.0001823759215057792]
['MYO1G' 0.00018235415905320336]
['MLX' 0.00018227323576606013]
['ZFYVE19' 0.000182260506637684]
['SLC2A4' 0.00018224092829241415]
['MTA1' 0.0001822258038862266]
['WDFY4' 0.00018209149583270506]
['PER3' 0.00018194831843789416]
['C5orf28' 0.00018192121524276123]
['WDR33' 0.00018167447639998106]
['RBM33' 0.00018145106465845517]
['KIAA1731' 0.00018133109968271612]
['LOC442245' 0.00018126519730076552]
['EIF4E3' 0.0001808431090976257]
['RABGAP1' 0.0001808413721082097]
['PCDH19' 0.00018078590640061435]
['FLJ21963' 0.00018071377955002405]
['PPIF' 0.00018071019542390964]
['KIAA1598' 0.00018065964189746506]
['C4orf17' 0.0001806556869937993]
['LTF' 0.0001806138430252409]
['MAP3K7IP2' 0.00018048854446609233]
['C16orf55' 0.00018047089237732683]
['FAM135B' 0.00017985368452813215]
['ADCY8' 0.00017961860764623453]
['PLK4' 0.00017956375820967065]
['FLJ21865' 0.00017938776078000357]
['C6orf204' 0.0001792214879540597]
['HOXA2' 0.00017919103830034723]
['SEC24B' 0.0001790347107315744]
['FBXL3' 0.00017895559934231727]
['ZNF208' 0.00017894968479794683]
['GCAT' 0.00017890677177484794]
['ADAMTS5' 0.00017887366049699677]
['CRYAB' 0.00017875368464112597]
['KLHL7' 0.00017871306396950192]
['RACGAP1P' 0.00017870743790634612]
['SRGAP3' 0.00017839432006627103]
['C17orf65' 0.00017822723862507232]
['HOXB7' 0.0001781260130196277]
['CHRNB3' 0.00017787916923698923]
['STAG2' 0.00017785427572646577]
['SAV1' 0.00017773543221480826]
['AP1M1' 0.0001776522571101887]
['AKT3' 0.00017764636945360017]
['B4GALNT3' 0.00017748671490906508]
['VEGFB' 0.00017727567101084418]
['CDC40' 0.000177181552447626]
['ZPBP2' 0.00017716618113779376]
['SERPINA4' 0.00017706168659497811]
['TNP2' 0.0001770516099666919]
['ACTR5' 0.0001769414109590897]
['OXGR1' 0.00017677742247720364]
['NUDT1' 0.00017671784103962657]
['TMEM28' 0.0001766653914993185]
['TRAM1' 0.00017657334544344112]
['INTS8' 0.00017656993152145465]
['TRAF5' 0.00017623568106913767]
['YAP1' 0.00017601465168789904]
['MESDC2' 0.00017597696402759812]
['PSMD3' 0.00017582648600265966]
['OR11A1' 0.0001757469229250724]
['PLEKHJ1' 0.00017571491170717638]
['C20orf132' 0.00017569857242999903]
['SF4' 0.00017567552744736787]
['SLC39A14' 0.00017557164580126654]
['NCAPD2' 0.00017548384916488136]
['CA5B' 0.00017537391950587784]
['BLID' 0.00017527901539927991]
['RP4-747L4.3' 0.00017490812938283364]
['WDR16' 0.00017477801836040773]
['LOC91461' 0.0001747187999772371]
['OR6K2' 0.00017462578789899488]
['KIRREL3' 0.00017454571397145324]
['PFDN5' 0.00017420024908952814]
['LSAMP' 0.00017419817465598613]
['TMCO4' 0.00017416216417394086]
['C17orf45' 0.00017410446262167232]
['GFPT2' 0.0001739278892334088]
['AZI2' 0.00017392722433235978]
['PFN4' 0.00017370394612246866]
['TBRG4' 0.00017360226436173335]
['FAM26A' 0.00017353458969830306]
['CLEC9A' 0.00017349917428543317]
['OR4F6' 0.00017337524856903452]
['STX6' 0.00017329300428428867]
['ZNF765' 0.00017326378718302853]
['ACTBL1' 0.00017319455099918242]
['ZNF257' 0.0001730611613266941]
['MAP4K2' 0.00017303290052979499]
['SERTAD3' 0.0001730105190823216]
['PUM1' 0.00017265685418132442]
['AK3' 0.00017264942258666808]
['CXCR7' 0.00017262289489385977]
['CCDC23' 0.0001726161542643888]
['ABCB6' 0.00017260270093333592]
['REG4' 0.00017259138749856163]
['TMEM14C' 0.00017237955740332894]
['PPAPDC3' 0.00017223423134405668]
['C6orf57' 0.00017211683046676384]
['CDON' 0.0001720959990684959]
['DPP7' 0.00017203604064203388]
['ATP6V1C2' 0.00017186511285560872]
['PGM2L1' 0.00017179210336716477]
['CEP192' 0.0001717664701100567]
['ATIC' 0.00017166167814864177]
['MMP14' 0.00017143470318011395]
['TFF1' 0.00017142363713567723]
['ILK' 0.0001714144115285413]
['ANKRD16' 0.00017138084391993117]
['EGR2' 0.00017136299283700707]
['TXNRD1' 0.00017133884942398172]
['TMEM181' 0.0001711861726544072]
['KLF9' 0.0001710473350863961]
['HSPA14' 0.00017104415569771963]
['CDC2L5' 0.00017092669029731522]
['SCRG1' 0.00017081165552000586]
['MRPL40' 0.00017078323355080465]
['ZSCAN5' 0.000170720975198569]
['LIN7A' 0.00017050586978872108]
['CXorf15' 0.00017048740617359672]
['ARL4D' 0.00017030649874069878]
['KCNB2' 0.00017022020507048163]
['CPEB4' 0.00017021281079082097]
['ECHDC2' 0.00017010392984200676]
['ACTG2' 0.00016983883555020588]
['FNBP1' 0.0001697544496675386]
['ACOT11' 0.00016966951361510328]
['NPY' 0.00016953890332875438]
['FLJ10292' 0.00016941053453536293]
['C16orf30' 0.00016924024262305533]
['C11orf49' 0.0001690839202053134]
['OR10T2' 0.00016904428239570396]
['FAM69B' 0.0001690155508549889]
['CHUK' 0.00016873903304376724]
['LOC130355' 0.0001687252254073031]
['LOC400451' 0.00016870624199086254]
['TMEM166' 0.00016866973509811035]
['AP2B1' 0.00016865555338380864]
['STT3A' 0.00016853766964194358]
['HSD17B10' 0.00016844887256977015]
['TEKT2' 0.00016842986228119127]
['ARMCX5' 0.00016830191673435977]
['TAS2R46' 0.0001682252320097614]
['PNPLA6' 0.00016796100237582767]
['TMC7' 0.00016789004358993387]
['ETV4' 0.00016787201907822046]
['ADAD1' 0.00016787067117208536]
['PANX1' 0.00016744918915201457]
['GOSR2' 0.00016740183851720147]
['LOC554202' 0.00016733983982565842]
['LOC388335' 0.00016717069201227733]
['OTUD3' 0.00016697775714200633]
['PPP1R9A' 0.00016694499189797777]
['OR5M10' 0.00016678182203883985]
['RCL1' 0.0001667373371997715]
['RHOBTB1' 0.00016667860949262292]
['CDC27' 0.0001666327325677493]
['C1orf103' 0.00016645384114749882]
['TRIM54' 0.00016641285005590287]
['OR6V1' 0.00016635895680567963]
['RAB15' 0.00016633673570407836]
['CYB5D2' 0.00016629819607919582]
['HEY2' 0.0001662795641040861]
['RBP4' 0.00016603273622001747]
['NLRP7' 0.00016593177934000062]
['MRPS18A' 0.00016582019278608412]
['EBP' 0.00016575481133454515]
['DIRC1' 0.00016572476793320361]
['XDH' 0.00016536590180681108]
['RASGRP1' 0.00016533630723391892]
['CTDSPL' 0.000165230547812019]
['UBE2F' 0.0001651030979176122]
['OR8J3' 0.00016489921016656653]
['SDHB' 0.00016479451496311762]
['WDR91' 0.00016473246360259295]
['OR7G3' 0.00016468663879833423]
['LOC196541' 0.00016458060501222516]
['TMCO5' 0.00016440381223090399]
['TSPAN6' 0.00016436150703954134]
['GNB1' 0.00016425838490934206]
['COL6A1' 0.0001642565731775753]
['PTPRO' 0.00016405974753672892]
['JMJD3' 0.0001639764139896042]
['LAD1' 0.00016388800737230424]
