['THOC1' 0.00040039136520488716]
['DDX5' 0.0003811562976408651]
['PDHA1' 0.0003784783900781404]
['FUS' 0.0003720927748900306]
['PPME1' 0.0003437783430224294]
['NPAT' 0.0003387855218996211]
['FLOT1' 0.0003307907130075678]
['CLTA' 0.00032191529704995265]
['DHX33' 0.0003152867959905856]
['TMSB10' 0.00031340367442942227]
['DISC1' 0.0003096967946583124]
['TLR10' 0.00030926568349127153]
['PARP15' 0.00030919899433757176]
['ADAM28' 0.0003052258292799462]
['PRPS2' 0.0003014673081147055]
['WEE1' 0.00029972703925797975]
['PTDSS1' 0.0002923525781620939]
['C14orf128' 0.00028988222774771304]
['GTF2F1' 0.0002845179382730869]
['SCRG1' 0.0002801739609059413]
['RAB32' 0.0002729968751595688]
['PDCD4' 0.00027178378921077263]
['OSTN' 0.0002712031154919604]
['MCM4' 0.0002675011418865049]
['CCR6' 0.000264760257155179]
['GCS1' 0.0002643203418444097]
['SEMA4A' 0.0002643092718172047]
['ANP32B' 0.00026398742626946545]
['EFCBP2' 0.00026335916092457977]
['LOC201164' 0.000254041002925621]
['RBBP7' 0.00024939824067706]
['RNMT' 0.00024069108304226557]
['NXNL2' 0.00023986492583133944]
['TMEM166' 0.00023833764391793276]
['BCAT1' 0.00023642425754943683]
['FRAG1' 0.0002355179503729094]
['C20orf69' 0.00023360553077556208]
['LYPD1' 0.00022786100724815265]
['ZDHHC14' 0.00022717520579770449]
['IRF4' 0.00022594985769684183]
['PPP3R1' 0.0002235584604205532]
['GOLSYN' 0.00022265199835126196]
['Age' 0.0002220876758362775]
['ASRGL1' 0.00021973608209035516]
['OR5M10' 0.0002179736926667424]
['ETV5' 0.0002173556821247837]
['STAC' 0.00021329105661868148]
['C16orf52' 0.00020819093486715683]
['TNFRSF10C' 0.0002073924127805955]
['FAM135B' 0.00020730549546228702]
['BICD2' 0.00020501476785440565]
['DIS3L' 0.0002024832710550732]
['KIAA1822L' 0.0002016219340013001]
['ETV6' 0.00020088369528182377]
['AARS2' 0.00020071992406072635]
['AFG3L2' 0.00020071292172501936]
['NSMAF' 0.00020016216317850623]
['C21orf99' 0.00019963124078007947]
['OR8J1' 0.00019889237800740415]
['PPP2R1A' 0.00019741188636812038]
['C8orf37' 0.00019396469892959178]
['GPS2' 0.00019392627469403567]
['RAG1AP1' 0.00019260185699027462]
['RNF128' 0.00019015413236846804]
['INSIG1' 0.0001882460119573679]
['SMCHD1' 0.0001882129301748247]
['C17orf68' 0.00018818501700366847]
['FAM132A' 0.00018642446017159023]
['RNF20' 0.00018472587711441317]
['STARD3NL' 0.00018411224009936699]
['INTS8' 0.00018357840459843448]
['KRAS' 0.00018357174013068078]
['BSG' 0.0001832197281851311]
['SLAMF7' 0.00018264369630806098]
['DDX10' 0.00018252098590068635]
['MGAT4A' 0.00018206604567131974]
['HERC2P2' 0.00018123251968543106]
['GCAT' 0.00018007578418770894]
['TRIP10' 0.00018005863122306132]
['PPAPDC1B' 0.00017970478143106212]
['CCR3' 0.00017954461303676094]
['LOH3CR2A' 0.00017938876657947652]
['TCTE1' 0.00017872574882964905]
['AGPAT5' 0.00017863790399307334]
['RTN3' 0.0001782109010021476]
['KIAA1609' 0.00017691969774729258]
['PLTP' 0.00017651020815975194]
['PLEKHM1' 0.00017637294822951514]
['URG4' 0.00017572523881825448]
['EPM2A' 0.0001755845309059872]
['LOC554248' 0.0001745057562237125]
['SLC27A2' 0.000174483416028518]
['GYPE' 0.00017420763689352564]
['AR' 0.00017417014848636927]
['WTAP' 0.00017375570118947952]
['C1orf190' 0.00017366749544060054]
['KLF4' 0.00017332397573947787]
['HSPA6' 0.0001730329076078274]
['MAPKAPK5' 0.0001725143552898414]
['LYG2' 0.0001720407393298128]
['NRSN1' 0.0001718181532327631]
['NCF1' 0.00017170352558633324]
['RRP1B' 0.00017151728509817713]
['SALL1' 0.00017144082940735006]
['MRPL52' 0.0001711887334530594]
['AGPAT6' 0.00017035396584678966]
['PINK1' 0.00017024136146083813]
['ETV4' 0.00016925467736689646]
['SSPN' 0.0001691623674094765]
['PER3' 0.00016853765130163813]
['GPR15' 0.00016850230887647445]
['HOXA3' 0.00016816549632192964]
['SNX9' 0.00016778789521605452]
['MXD1' 0.00016774531300494126]
['EIF2S3' 0.00016758483473655898]
['QSER1' 0.00016672930134225872]
['CCM2' 0.0001665011737515346]
['RGS18' 0.00016647467534497616]
['LOC388969' 0.00016646629828298592]
['C1orf101' 0.00016593274227955153]
['DHFRL1' 0.00016547071255331794]
['C10orf63' 0.00016546030449601426]
['TTLL4' 0.00016537029871926953]
['SDCCAG8' 0.00016527862888016898]
['PCTP' 0.00016526531721391271]
['OR2AE1' 0.0001651752608015084]
['TST' 0.00016514396926321906]
['ZNF18' 0.00016288152572808818]
['SDCCAG3' 0.00016264805879193247]
['SPG21' 0.00016225218928347693]
['ZMYND19' 0.0001620263913602509]
['SF3B2' 0.00016130328082284473]
['SLC6A8' 0.00016102774445987135]
['CD151' 0.00016100031807915545]
['NOL8' 0.00016031236384358112]
['WHSC1L1' 0.0001601610926784359]
['DBNL' 0.00015985905012202726]
['MAPK7' 0.00015943520799526493]
['DNAJB6' 0.00015902095532608382]
['C20orf42' 0.0001587750755922925]
['PSMC4' 0.00015856973263924312]
['TLN2' 0.00015821914144143284]
['LUC7L2' 0.00015808828713669509]
['LRP10' 0.0001579057150266828]
['PPP2R2D' 0.00015742961869801648]
['CTSA' 0.0001572286725294816]
['DUSP22' 0.00015718649749449522]
['LPIN1' 0.00015657475574211603]
['PKD1L1' 0.00015585827148740313]
['CHD4' 0.00015570255945696328]
['PRUNE2' 0.00015566289406393615]
['PLCG2' 0.00015544136979581382]
['LAYN' 0.0001551985751439498]
['ZNF467' 0.00015488438241170944]
['PANX1' 0.00015478163104599003]
['C6orf1' 0.0001545135439408251]
['SLC39A6' 0.00015366272367638154]
['GZF1' 0.00015322326286784557]
['RPP38' 0.00015307533249151663]
['ABCB6' 0.00015287264792365418]
['FIBIN' 0.00015281559669793544]
['DIRC2' 0.0001528035472273213]
['POLR2E' 0.00015175270842277517]
['SNX4' 0.00015166489242312455]
['RBM42' 0.00015151875747094906]
['MGC13008' 0.00015072873829998084]
['CEP170L' 0.00015061173923880937]
['DLL1' 0.0001504105767395671]
['PAQR8' 0.00015037545888153247]
['MBNL2' 0.0001500477849829389]
['PPIL1' 0.0001499233339183332]
['CD47' 0.0001498234462905524]
['PCMT1' 0.00014956940178087916]
['UBE2D4' 0.00014940946603367875]
['GNL2' 0.00014932206869264613]
['ETNK1' 0.00014895213894681217]
['AGBL3' 0.00014879283745127553]
['KIAA2026' 0.00014873365614565277]
['MAP7D3' 0.00014827088194119083]
['CHST12' 0.0001482223833473513]
['MRPL41' 0.00014780017226281893]
['SAP30' 0.00014778751287794205]
['TSNAX' 0.0001477837789585279]
['C5orf32' 0.0001477492098859802]
['MAP4K5' 0.0001476220979405053]
['DAAM2' 0.0001475117356965315]
['ZNF776' 0.00014729299271763326]
['TARBP1' 0.00014690853795827223]
['C20orf108' 0.0001468863049019218]
['PCTK1' 0.0001468235509181706]
['TPK1' 0.0001467281654128251]
['HUS1' 0.000146644296613875]
['MARCH3' 0.00014645671626382394]
['ATP2C1' 0.00014638473280217192]
['FLJ32214' 0.00014630720095255842]
['GSDML' 0.00014602638982717534]
['ATP6V1G3' 0.00014587956036198152]
['ZNF587' 0.00014587348435137696]
['USP2' 0.00014584233656628984]
['ZNF24' 0.00014580768281884863]
['ID2' 0.0001456640178924326]
['ZNF486' 0.00014537211403930415]
['GPR55' 0.0001453492546021313]
['SPTLC3' 0.00014533110664101577]
['HOXB4' 0.00014520638080009162]
['MXRA7' 0.00014491726234790688]
['COX7B2' 0.00014486390299573324]
['POLD3' 0.00014484959848706786]
['RFXDC2' 0.0001448429578719688]
['MIB1' 0.00014471804640548292]
['GPRC5C' 0.00014450709298144475]
['RGMB' 0.00014429709857468213]
['TM9SF4' 0.00014428726420681102]
['PARK2' 0.00014404244278485044]
['KRT8P12' 0.00014392987464943984]
['HHEX' 0.0001438889040180359]
['ANGEL2' 0.00014375863621548369]
['PRH2' 0.00014350045187994193]
['TRA16' 0.00014338976554453922]
['OR8H2' 0.00014330794461246286]
['CDON' 0.00014320470376719225]
['FOS' 0.0001429722234030898]
['GANAB' 0.00014259690298863204]
['RCL1' 0.00014242035292094164]
['MYST4' 0.0001423609119922015]
['SMARCD3' 0.0001419549664904656]
['CHMP7' 0.00014173834928152181]
['SSB' 0.00014169927929667315]
['DDX27' 0.00014135828068084744]
['MMD' 0.00014111820848394848]
['TMEM181' 0.00014108104850318545]
['RAF1' 0.000141042826393142]
['JRKL' 0.00014095558576660125]
['HTRA3' 0.0001409094665902617]
['PEBP1' 0.0001408447162908018]
['TSPYL5' 0.00014069788419102575]
['ZFAND2A' 0.0001406351860844447]
['TLK2' 0.00014045010961461656]
['SDHA' 0.0001404466409327732]
['C8orf31' 0.0001403993530148845]
['ZNRF2' 0.00014026009772257397]
['GLRA3' 0.00014024395713784716]
['TNRC15' 0.00013993427728680756]
['TAS2R13' 0.00013991890500095796]
['TOMM34' 0.00013962418499172555]
['CR1L' 0.00013951605028452558]
['TAF3' 0.00013950577875456065]
['TNKS' 0.0001392910975487076]
['EHHADH' 0.00013914740383813232]
['OSBPL1A' 0.00013906038080684427]
['GPR109B' 0.00013882337569625633]
['FXN' 0.00013870782118850024]
['MTRF1L' 0.0001387025686336403]
['MRPL32' 0.000138618548545543]
['BIN3' 0.00013858797634666616]
['RABGGTA' 0.00013852821679689753]
['RP11-679B17.1' 0.00013839274919967668]
['FAM120B' 0.00013813951788550378]
['NPEPPS' 0.00013788763145616728]
['LATS1' 0.00013764459158785268]
['TNIK' 0.00013763724839235703]
['SPG20' 0.000137554790407398]
['C1orf152' 0.00013752929417115342]
['C6orf115' 0.00013743688310375373]
['YES1' 0.0001372877463372936]
['OXR1' 0.0001368855291781442]
['ORMDL3' 0.0001368392985754786]
['ZNF233' 0.00013666579207849316]
['LEO1' 0.0001363315798290841]
['CCNG2' 0.0001359553423106382]
['NUDCD3' 0.00013592651235382652]
['C3orf26' 0.00013587202444457895]
['LTA4H' 0.00013562432511172762]
['RHOH' 0.0001354524287861767]
['S100A5' 0.00013516294233774872]
['RAB3C' 0.00013509207448035712]
['IGSF11' 0.00013509117497337633]
['GRLF1' 0.00013503373334726657]
['DYNLT1' 0.00013486295120128684]
['ZNF592' 0.00013485988288031064]
['FAM134C' 0.00013477021867828347]
['SPRY4' 0.000134721506488777]
['DEFB114' 0.00013448364772114237]
['ATP5A1' 0.00013435151731341403]
['TCF7L2' 0.00013433325969944274]
['HIST1H2BD' 0.00013413933999112116]
['KLHL15' 0.0001334655870498762]
['C1orf217' 0.00013346266554307924]
['PADI4' 0.00013338969078986008]
['CRNN' 0.0001332518315164242]
['OR9A2' 0.00013284572814184286]
['AP3M1' 0.00013278866063150507]
['CYP2C8' 0.0001324096095917773]
['RGAG4' 0.000132161932957096]
['KIAA1622' 0.00013209121122478287]
['CXorf15' 0.0001320194263602003]
['RUNX3' 0.0001319559314022318]
['SF3B3' 0.00013162868980320108]
['TAS2R49' 0.00013160591816173363]
['PTH' 0.0001314512104619373]
['ART4' 0.00013133289729997083]
['RASSF8' 0.00013128056551119156]
['LOC399818' 0.00013126053786244364]
['POPDC3' 0.00013118452567208936]
['GDPD1' 0.0001311069608526371]
['MMP14' 0.00013102318133277515]
['HPS4' 0.00013101200854069656]
['AP2M1' 0.0001309579625907508]
['HOXB7' 0.00013087623305837876]
['LANCL3' 0.0001307804211945658]
['CAPRIN1' 0.00013060020322298974]
['CNOT1' 0.0001305265712179453]
