['Treatment' 0.047790195664771024]
['CCT7' 0.015733783883361968]
['PPM1K' 0.014866927630042399]
['HOXA4' 0.012717316375246803]
['RARS' 0.010420930799294143]
['HOXA5' 0.010338059409543751]
['PRPF19' 0.009280412869860035]
['HAS3' 0.008782294871419443]
['RARRES3' 0.007899839987017043]
['BMS1' 0.007542950744582305]
['RPLP1' 0.007455936150872375]
['ABCD2' 0.006944859116413887]
['RFTN2' 0.006545954765155704]
['RNF32' 0.006142164096370866]
['ASS1' 0.0061212628853596456]
['LDHA' 0.005929070376823037]
['ALDH8A1' 0.0058240199419894055]
['CCIN' 0.0054344343494044265]
['ZNF354C' 0.004802001466731075]
['SHANK2' 0.004332251593263839]
['DIS3L2' 0.00424915539454332]
['LRP12' 0.004175557471601943]
['CD34' 0.004152363729092979]
['GPR32' 0.003999225610417001]
['ZSWIM1' 0.0038765242088782724]
['FRMD8' 0.0037945479033522334]
['BTN2A3' 0.003739183391460998]
['CDGAP' 0.003384491207485903]
['ZNF182' 0.003324577000099743]
['STX16' 0.0032315196811538095]
['AP3D1' 0.0032116086237832108]
['RGS2' 0.003165438447000544]
['PRR16' 0.0031405350590843722]
['OGG1' 0.0030667371876444737]
['POLR3H' 0.003020543354259385]
['TIMM9' 0.003009256690310343]
['JTB' 0.003008588495992188]
['CASZ1' 0.00300512995368433]
['HINT1' 0.0029867087896753132]
['MRGPRX1' 0.002878004347366889]
['C8orf53' 0.002845408407371584]
['AQP7P2' 0.0028366137654324327]
['SP3' 0.0028345638647877137]
['RNF126' 0.002712868862474652]
['C2orf59' 0.0027058345490561277]
['C15orf5' 0.002612183580373573]
['XYLB' 0.0025240105062398223]
['TARDBP' 0.0025132959508013526]
['SGEF' 0.0023713895012085658]
['THAP10' 0.002369957339345534]
['ATP5L' 0.0023341548296323972]
['SLC4A7' 0.002304503176347514]
['SUMF2' 0.002277656556219077]
['PSCD2' 0.002252837442350358]
['EHMT1' 0.0022490789955594815]
['GPD1' 0.0022431834377541755]
['PAR5' 0.0022353060244912743]
['TCEA3' 0.0022256083021754197]
['SOS1' 0.0022007530685844378]
['DTX4' 0.002198694997787854]
['CDH4' 0.0021097389401696547]
['TIMP2' 0.002090742270666535]
['SLC39A4' 0.0020818323320662426]
['BIC' 0.002080654027171178]
['EDA2R' 0.0020803954546553464]
['FAM100B' 0.002031073558077707]
['PRPF4B' 0.0019991178581217762]
['PRKACB' 0.0019379195947032196]
['SSBP1' 0.001909416436504832]
['POPDC2' 0.0019037652167228697]
['PDGFRB' 0.001870871685749309]
['NR2E3' 0.0018449870351034906]
['NHLRC2' 0.0018372159061803817]
['MYH7B' 0.0018362938811056762]
['ANP32C' 0.0018321267723299575]
['RNASEH2C' 0.0018087721996703022]
['RBM41' 0.001784554733660701]
['CST9L' 0.0017713570442622927]
['AIP' 0.001761522348285712]
['SLC9A1' 0.0017500558397779778]
['AKT3' 0.0017252759093035878]
['PSME4' 0.0017238041040179594]
['KIAA0317' 0.0017149598780149067]
['CSNK2A1' 0.0016985871413677297]
['HOXA3' 0.0016926143271513436]
['NLK' 0.0016655083740337582]
['MAN1A1' 0.0016595490539484175]
['MITF' 0.0016575360701790885]
['TNIP2' 0.001655420018623389]
['SALL1' 0.0016402616846057227]
['C6orf204' 0.0016394091172783959]
['MPEG1' 0.0016311080881303659]
['NLRP1' 0.0016236209719668942]
['TIGD2' 0.0016185337338800007]
['NR2F1' 0.0016140747196154476]
['TMEM144' 0.0016105763662997746]
['C8orf41' 0.001598685149561834]
['ZNF76' 0.0015921123900694526]
['OSBP' 0.0015775490845577255]
['IMP3' 0.0015750417591234402]
['FBXO42' 0.00156935815280894]
['ARL1' 0.0015663194446895576]
['SLCO2B1' 0.0015522469224735066]
['MRPS2' 0.0015487016830786802]
['ANKRD50' 0.0015483437211273572]
['PSG5' 0.0015450767582514977]
['TMCO3' 0.001532659001568177]
['SLC7A1' 0.0015191318943251603]
['CD226' 0.0015016656010898991]
['TP53I11' 0.0014907196189622674]
['LIN28' 0.001489682780645172]
['SLC43A2' 0.0014884000318940297]
['GGA2' 0.0014854492916993895]
['C1orf152' 0.0014821509477094433]
['PHKA2' 0.0014698534122583084]
['TRHDE' 0.0014547491425342572]
['ABCA12' 0.0014514273626758199]
['RWDD2A' 0.0014382584890621356]
['SNX8' 0.0014345118416962054]
['BPGM' 0.0014340256730843012]
['NOSTRIN' 0.0014332252219131294]
['MCF2' 0.001431321053663694]
['ITGB1BP2' 0.001417133379353738]
['CTLA4' 0.0014093045902307784]
['ZNF287' 0.001402314887878335]
['TOR1AIP2' 0.0013975313141443293]
['CTNNBL1' 0.001396353054761734]
['EIF4E3' 0.0013922349028324937]
['MRPS6' 0.0013915026674198626]
['DKKL1' 0.001385783783192515]
['MRPL37' 0.0013847356340419778]
['CNOT3' 0.0013806248591894021]
['PHYH' 0.0013765681977701719]
['SCG5' 0.0013757077725424724]
['KIAA0495' 0.0013708617788456392]
['ARPC3' 0.0013671130147960217]
['POP7' 0.0013665225946627683]
['TIGD1' 0.0013637902490649715]
['REC8' 0.0013634149680979047]
['CLCN4' 0.001363019020684018]
['GTPBP2' 0.0013599184043842796]
['ACOT8' 0.0013593766585769066]
['MYO3B' 0.0013593682211296095]
['CDS1' 0.0013576505451937118]
['VWF' 0.001352549258511223]
['ARHGEF11' 0.0013300960764309772]
['HVCN1' 0.001318316065955691]
['SLC39A11' 0.0013139869571778646]
['GNPDA1' 0.0013109649322128227]
['STK39' 0.001306743712728215]
['LOC283345' 0.0013063971514021963]
['PDXK' 0.00129961256161805]
['CCDC46' 0.001299034292824663]
['ZBTB25' 0.0012988002335933457]
['NRIP1' 0.0012980842038749951]
['MYB' 0.0012938730160378237]
['RAD23A' 0.0012694352898930184]
['TMPO' 0.0012692014695810472]
['ENTPD7' 0.0012686559321448466]
['BTBD2' 0.0012641363583808525]
['MMP20' 0.0012612199078973257]
['SLC22A1' 0.0012589774003294483]
['PRSS21' 0.0012429817310291727]
['FZD3' 0.001242819597860534]
['B3GNT3' 0.0012311199674489442]
['RPL21' 0.0012309327512295344]
['ZRF1' 0.001228982875321276]
['VIPR1' 0.0012246561938333569]
['RAB31' 0.0012219391290865956]
['TEK' 0.001220212424221365]
['HAPLN1' 0.001219502898823253]
['EIF2B5' 0.0012164003154556966]
['ZNF275' 0.001210281139305068]
['DNM1' 0.0012000360882426148]
['QSOX2' 0.0011950931605056573]
['RELT' 0.0011950607953800834]
['CACNA1E' 0.001190093363652374]
['UBN1' 0.001188137982264949]
['ALG5' 0.0011856971678597637]
['PSRC1' 0.0011788433031259852]
['ZNF513' 0.001171308389202833]
['RAB40A' 0.0011679014986014917]
['TKTL1' 0.0011668732774045246]
['C10orf81' 0.0011626009648460854]
['CDH23' 0.0011617682392707472]
['NTS' 0.0011571585067985195]
['C9orf72' 0.0011449690671594675]
['DDB1' 0.001138792395394046]
['THSD1' 0.001130914449564361]
['ADD3' 0.0011201172513841213]
['FAM102B' 0.001116595080821855]
['HNRPAB' 0.0011067866947120537]
['CHMP5' 0.0011051791019834087]
['SLC25A42' 0.0011039578698194836]
['RC3H1' 0.0011029005374890162]
['ACP6' 0.0010996602936109304]
['NDRG2' 0.001099615467939136]
['SULT4A1' 0.0010974122402702478]
['PTGES2' 0.0010903021447096109]
['NDUFB4' 0.001084050987313872]
['ARHGDIG' 0.0010821112835763527]
['KRIT1' 0.0010807723131221988]
['CRKL' 0.0010742802067123067]
['MAPK8IP1' 0.0010721974768235956]
['PTHLH' 0.0010676860071936977]
['PTPRJ' 0.0010670322434404537]
['CAMTA1' 0.001065538792797317]
['PRY' 0.0010582338467897976]
['ANKRD22' 0.0010545516334438173]
['C6orf58' 0.0010536769948882505]
['PI3' 0.0010523870106309019]
['ACVR2B' 0.0010487454649664777]
['LAMP1' 0.0010424448707467497]
['LAS1L' 0.0010416462113903352]
['VIL2' 0.0010393449473008836]
['NEDD4L' 0.00103243533063989]
['RANBP17' 0.0010311004926197357]
['C5AR1' 0.0010291120623256748]
['CREG1' 0.0010286255344863359]
['LACRT' 0.0010243444584833354]
['FARSB' 0.001018327996990087]
['C14orf39' 0.0010149377172249112]
['PDIA3' 0.0010139708761950225]
['NAP1L2' 0.0010016486569863106]
['GGTLA4' 0.0009950636311984072]
['PTPN7' 0.0009930274867005792]
['CPNE1' 0.0009893995566135788]
['NY-REN-7' 0.0009858244575721782]
['MGEA5' 0.000975664119021107]
['KY' 0.0009725397194618822]
['STAB1' 0.0009700608949168811]
['NHEDC2' 0.0009652806466877275]
['SMPDL3A' 0.0009652799375679117]
['AIM1L' 0.0009621467809776085]
['SDHC' 0.0009609421340490702]
['NDUFS6' 0.0009601136889075639]
['MPZL2' 0.0009599084036217303]
['SIX1' 0.0009588409480280307]
['CITED2' 0.0009559734975839063]
['NAALADL1' 0.0009559566063048916]
['MTR' 0.000953987584806358]
['MT4' 0.0009516448660020088]
['ESR2' 0.0009421758112560169]
['CXCL12' 0.0009375652697593635]
['CDYL2' 0.0009351325169738221]
['KCNAB2' 0.0009328360156795804]
['GRSF1' 0.0009293662940238738]
['SCG3' 0.0009287798005833675]
['LCN1' 0.0009283643245714034]
['TTTY14' 0.0009249545732643728]
['PCDHGC5' 0.0009150534474553797]
['C19orf18' 0.0009143717026806632]
['AADAT' 0.0009137130894533956]
['HSPA9' 0.0009064644414241637]
['SDHA' 0.0008994194162016859]
['PRICKLE1' 0.0008990523457376458]
['PRDX6' 0.0008978823608816304]
['OR13D1' 0.000896412240958033]
['LPHN3' 0.0008951853018646135]
['PSTPIP1' 0.0008943863988425863]
['ADD2' 0.0008795808818403438]
['SEC11C' 0.0008762550436074547]
['KLF6' 0.0008759685869593171]
['HIP1' 0.0008758472788698237]
['ODZ4' 0.0008748459366534735]
['WISP3' 0.0008732325718234131]
['TGS1' 0.0008731277738233205]
['EXDL2' 0.0008640685461017561]
['NAB1' 0.0008619584656449367]
['ZNF257' 0.0008615672249200193]
['BIVM' 0.0008612813884216525]
['TMEM130' 0.0008608200100409614]
['HSPB2' 0.0008598869522745346]
['SBSN' 0.000858861943726137]
['ZNF20' 0.0008554581505990555]
['GHDC' 0.0008536447666879356]
['HPR' 0.0008506416110894922]
['WASF2' 0.0008485893566637691]
['OXGR1' 0.0008472055607924351]
['CACNG6' 0.0008463762081209952]
['SNUPN' 0.0008458909595467783]
['WFDC12' 0.0008443241743467384]
['SCN1B' 0.0008438555148279196]
['LSM11' 0.0008417089449646861]
['C22orf31' 0.0008379827430495975]
['ZBTB33' 0.00083562985816685]
['OPA1' 0.0008334117596232121]
['OR2AE1' 0.0008306643107419678]
['ECM2' 0.0008305991097456326]
['MME' 0.0008305010182042379]
['MET' 0.0008288036187591656]
['TSC22D3' 0.0008274045923624258]
['HMGCLL1' 0.0008273760770411649]
['IFITM2' 0.000824701936300789]
