['ZNF660' 0.000557214900336401]
['MPP5' 0.0003769176220176538]
['NPFF' 0.0003675108357856234]
['MGC24103' 0.00036459780608954335]
['KRTAP15-1' 0.00036234217457874066]
['PRKACB' 0.00033595650300743366]
['ZNF354C' 0.0003326543063922625]
['GSS' 0.00032769885022547744]
['CHML' 0.000315636322900312]
['CPNE3' 0.0003078698844186112]
['DDIT4' 0.00029232062749779737]
['HAS2' 0.00029078541198153]
['PDGFRB' 0.00028818005394464993]
['SUCLA2' 0.0002850605605401931]
['XK' 0.00028295165136598414]
['EPHB1' 0.0002791487023267426]
['APOL4' 0.0002717021350479228]
['PIR' 0.00027096474693601814]
['C2orf37' 0.0002687908905909052]
['PTHLH' 0.00026432438713424575]
['PMP22' 0.0002602617139646083]
['SEC23A' 0.0002583842238052153]
['WDR17' 0.0002568558870170639]
['KIAA1946' 0.0002548036558154561]
['Treatment' 0.0002516879002291399]
['ANKIB1' 0.00025041053746033097]
['ARFGEF2' 0.00025009212478519936]
['AMFR' 0.00024804369619443276]
['DOLPP1' 0.00024589991792637814]
['ATP5L' 0.0002443700816519962]
['BECN1' 0.00024291438164160336]
['CHST9' 0.00024026017912839756]
['BANF1' 0.00023909301564499117]
['ADC' 0.0002386879154402367]
['C15orf21' 0.00023611606451648357]
['JPH3' 0.00023202390044671663]
['TBC1D1' 0.00023180048477356468]
['DNAJB2' 0.00023141532758601076]
['ZFP91' 0.00023139876251660455]
['PHF21A' 0.00022744776527058817]
['ZNF454' 0.00022608514398034604]
['CXCL3' 0.00022548459475864836]
['ST8SIA2' 0.00022517195757077067]
['LRP12' 0.00022422648805658593]
['SRP54' 0.00022314154373832815]
['ZNF608' 0.00022284667882270656]
['PSTPIP2' 0.0002207112068710472]
['ATP9A' 0.00022020369007534954]
['LOC338809' 0.0002201423281108513]
['SEPT8' 0.00021884951878100472]
['IFNGR2' 0.00021791247194336095]
['MARVELD3' 0.00021675090837879965]
['CDH2' 0.00021612993614003123]
['MOSC1' 0.00021561028957355362]
['GPC6' 0.00021543100595359832]
['ALDH3B2' 0.0002151551002081233]
['RIOK3' 0.0002145964239200872]
['LGI2' 0.00021428588375204744]
['TMEM45A' 0.0002131847990813752]
['CLCNKB' 0.00021232767116111142]
['GOT2' 0.00021225182953312272]
['ING2' 0.000209754207894735]
['SHROOM4' 0.00020940221796216153]
['RORA' 0.00020914666490898438]
['NLGN4X' 0.00020828400419744094]
['TMCO4' 0.00020758777795440024]
['ZNF621' 0.00020729605771750814]
['CLCN4' 0.00020647865279764318]
['PIPSL' 0.000204518651273476]
['PGBD1' 0.00020341923813341957]
['LEPREL2' 0.00020162997851549188]
['SLITRK4' 0.0002013863839033546]
['MC3R' 0.000201315138906198]
['VAV1' 0.00020049606934664647]
['SLC25A44' 0.00020044097827004142]
['INSL6' 0.00020029216486624406]
['ALDH8A1' 0.00020028459718245334]
['OR2W3' 0.00019978613623697583]
['GRHL1' 0.00019939780715643737]
['MOSPD2' 0.00019705170059687864]
['ZNF182' 0.00019628198492928302]
['FLJ10213' 0.00019507954644102106]
['LYPLAL1' 0.00019498333657506258]
['AOAH' 0.00019421243293506172]
['JUND' 0.00019389660805133217]
['IER3IP1' 0.00019308207670183728]
['CBX2' 0.00019172733953336439]
['KIAA2026' 0.0001911553207679376]
['ZMIZ2' 0.0001910033414749381]
['ZNF300' 0.00019057357091074756]
['KLF12' 0.00018963848686104768]
['STOM' 0.0001894381553727062]
['PRICKLE1' 0.0001881235626945296]
['CCDC74B' 0.00018806697621995058]
['MAOA' 0.00018800773084805625]
['NT5DC2' 0.00018799376497995404]
['FZD6' 0.0001874907241386327]
['COL5A1' 0.0001863767788713076]
['LOC222699' 0.00018637368992098315]
['C2orf57' 0.00018636097505920078]
['CYP7B1' 0.00018619360856983382]
['CHUK' 0.000185310864597604]
['PAR5' 0.00018498896559718232]
['HNRPAB' 0.00018420487077568413]
['KIAA0258' 0.00018418856190308833]
['SRPX' 0.00018403998396844792]
['ANGEL1' 0.0001840397447496508]
['DOCK2' 0.00018383560631237124]
['MDC1' 0.0001831664641736435]
['ADAMTS9' 0.0001818174735435552]
['HIST1H3A' 0.00018152167405300506]
['CNTN3' 0.00018084633626325148]
['PICK1' 0.00017990285685084723]
['IAH1' 0.00017872152691469724]
['SPRY4' 0.0001786805915856504]
['LIN28' 0.00017857203114331297]
['FAM55C' 0.00017830310570715228]
['HSPC105' 0.00017817379017619995]
['GPR75' 0.0001773691797992549]
['CYFIP2' 0.00017728386688659113]
['PDE5A' 0.00017709465619517942]
