UTR5_A4_minus_S4_divavg,TSS200_A4_minus_S4_divavg,TSS200_primate,first_exon_avgMval,first_exon_avglogFC,first_exon_numHypo,CDS_S36,UTR5_A27_minus_S27_divavg,TSS200_placental,fullTranscript_A36,TSS200_vertebrate,fullTranscript_S36,fullTranscript_avgMval,TSS200_A27_minus_S27_divavg,UTR5_avglogFC,last_exon_A36,CDS_A36,UTR5_avgMval,first_exon_S4,first_intron_avgMval,TSS1500_A27,first_exon_primate,UTR3_A36_minus_S36_divavg,first_intron_A4,UTR5_numHypo,first_exon_A4,TSS1500_A4_minus_S4_divavg,intron_A36,last_exon_S36,first_exon_numHyper,TSS200_A36_minus_S36_divavg,UTR3_A4_minus_S4_divavg,exon_S36,last_intron_A36,intron_S36,CDS_ATT,TSS1500_S27,TSS1500_A27_minus_S27_divavg,TSS200_A4,exon_A36,CDS_TA,CDS_TT,TSS1500_avglogFC,CDS_TAA,CDS_AT,TSS200_A27,last_intron_S36,CDS_C,first_intron_avglogFC,TSS200_numHyper,fullTranscript_length,first_exon_A27,CDS_T,first_intron_length,first_intron_A36,CDS_ATA,UTR5_numHyper,TSS200_CG,TSS200_GC,TSS200_S4,CDS_AAT,last_exon_length,TSS1500_avgMval,fullTranscript_avglogFC,fullTranscript_A27,first_exon_placental,TSS200_CGG,regulated
2,-0.581828692258598,0.606065,1.41798252499863,0.497490996524081,0,0.206925175795411,-0.0260594052102202,0.68095,0.210763899019686,0.623695,0.123581527068784,1.31588533825729,1.43705275286146,?,0.284942956203911,0.29089698812459,?,0,?,1.28098350103104,0.419467336683417,-0.94633748560606,0.140587626343956,?,0.272759039094238,0.71200811367544,0.274209989445319,0.478068509596294,1,0.895799343908143,2,0.171481095833453,0.328972042731046,0.153353689591035,0.00781609195402299,0.379270922448831,1.08623421305782,0.203546432924075,0.367948078228528,0.0540355677154583,0.0510715914272686,-0.875901640463358,0.0154022988505747,0.0339717282261742,1.92968668424548,0.367959435957497,0.254409769335142,?,?,48255,1.69180271686229,0.236318407960199,2220,0.189756606509848,0.00758620689655172,?,0.04,0.015,0.370563145553424,0.00666666666666667,132,-0.840505672275508,-0.457396281674054,0.83314007862185,0.396301507537688,0.0050251256281407,Down
-1.20584965827805,-1.41316711557066,0.015685,-4.18266142553328,0.282596588507827,0,1.68048324585364,2,0.026515,1.11433977702035,0.06719,0.680728954342274,-1.1969382142554,2,0.282596588507827,1.82293567318674,2.23809740145617,-4.18266142553328,25.3179413611593,-1.40456823005342,0.202548673239951,0.021944099378882,0.431173718271617,1.34579088627022,0,4.55134881072466,-1.01746149343117,0.97535525720018,1.16144251411124,1,-0.70851569728316,-0.308952850731567,2.03564655699067,1.75135670642404,0.621482288087913,0.00469483568075117,0.210706068027128,-0.0394787716756287,5.22435844505126,1.57729713821262,0.0408542246982358,0.0250696378830084,0.141879073684087,0.00375586854460094,0.0324976787372331,0.164228653978339,0.769573698374522,0.285583103764922,-0.422190301527727,1,32214,0.153008062712738,0.178145087235996,15286,0.901065458207976,0.00375586854460094,1,0.155,0.175,30.3861779353808,0.00657276995305164,326,-3.63912713333783,-0.216360710768949,0.147588611556246,0.0526521739130435,0.100502512562814,Up
2,-0.308954297611971,0.18425,1.19460044154909,0.150758502844317,0,0.434458129202828,2,0.150295,0.249284905359054,0.159495,0.298744664941117,1.01502802749248,-0.333084022785695,0.150758502844317,0.442499649634309,0.336634845332813,1.19460044154909,1.01523998982482,-0.613680071717234,0.218971538637785,0.0155205479452055,0.501245498175045,0.241941496498901,0,0.37177430671064,0.489350907363051,0.273694227736776,0.285543182202311,1,-0.822425647903561,2,0.163484568048474,0.401965330583838,0.316212635105523,0.00437062937062937,1.09567155374107,-1.33374604892479,0.271395243898767,0.389766530765971,0.0138768430182134,0.0355594102341717,-0.101353772697327,0.00174825174825175,0.028620988725065,0.451628798440432,0.963435775064287,0.351118760757315,-0.662047269419622,?,9928,0.449941517748874,0.199655765920826,1290,0.174941721948448,0.00437062937062937,1,0.025,0.06,0.370563145553424,0.00262237762237762,221,2.13342754331763,-0.295028095082967,0.298582514535558,0.0701369863013699,0.0100502512562814,Down
-1.42513055062659,-0.646214723043905,0.2974,?,?,?,0.636139549059585,-0.247922698651054,0.304455,0.195245927678997,0.19592,0.556263848580213,-2.56683930989631,2,0.162117239574553,?,0.218394988367901,-2.97025674821019,?,?,1.3740464049521,?,-1.2826056782283,?,0,?,-0.990682887375122,?,?,?,0.175231672072026,-1.90348727241191,?,?,?,0.0145395799676898,0.168564854421703,1.56291034854723,6.44563704259571,?,0.026634382566586,0.0613397901533495,0.142908019322868,0.00565428109854604,0.059725585149314,0.369514471451263,?,0.266129032258065,?,3,2042,?,0.25,?,?,0.00565428109854604,3,0.075,0.11,12.5991469488164,0.0105008077544426,?,-2.57574366034959,0.3082835721492,0.876636791559204,?,0.0251256281407035,Down
2,2,0.601415,1.1432758357753,0.415068103625973,0,0.236348476654348,-2,0.72468,0.0884999299268617,0.69826,0.219349080873594,-1.25521746245679,-1.75603882451952,0.415068103625973,0.0456600548939803,0.112696539981771,1.1432758357753,0,2.11210264768445,0.120434346250782,0.194444444444444,-2,0.275528166394687,0,1.50775135499315,-0.393269465190449,0.201136204379231,0.239396977491316,1,-1.45142614541477,1.28282239697697,0.500833676719927,0.089401457226626,0,0,0.379270922448831,-1.03595696267771,0.271395243898767,0.238809334723278,0.0175438596491228,0.018796992481203,-0.644893693449657,0,0.0137844611528822,0.0410571634945847,0.32141787741958,0.300873907615481,0.244999882010807,1,1870,0,0.142322097378277,197,0.0381852489532145,0.00125786163522013,1,0.125,0.01,0,0.0050314465408805,659,1.82700453377283,0.228203509519744,0.131734214421128,0.212222222222222,0.0301507537688442,Down
2,2,0.04567,0.551015432955813,0.0638559234390755,0,0.113294512148493,-1.17508983771982,0.001595,0.0647250921549228,0.041855,0.135742205879636,0.827937064461612,-1.40946503392156,0.0638559234390755,0.0700853482340054,0.054021501212088,0.551015432955813,0,?,0.0547428846594463,0,-0.862555069707745,0.0375893689610481,0,0.141351689530608,2,?,0.195978395238232,1,2,2,0.0713051336347015,0,?,0.0036101083032491,0.210706068027128,-1.17508983771982,0.135697621949383,0.0509999596188695,0.0144014401440144,0.0261026102610261,0.30519899429798,0,0.0324032403240324,0.164228653978339,0.297665298427881,0.337522441651706,?,2,2092,0.17107151456077,0.203770197486535,361,0.104189668196444,0.00180505415162455,1,0.025,0.075,0,0.000902527075812274,644,0.214659754539758,-0.284178750640853,0.211958587830552,0,0.0050251256281407,Down
?,2,0.57329,?,?,?,0.0957587909965263,2,0.58403,0.167721059217529,0.52411,0.144988203709747,0.742626979759219,2,?,0.16224987153258,0.175030210426924,?,0,0.19977798030708,0.240868692501564,0.954184049079755,2,0.121214959590033,?,0,-0.437779172388157,0.19212656693356,0,?,0.354228397779376,1.34712097368051,0.184517670370499,0.209151826981925,0.0619892370006982,0.00618238021638331,0.29498849523798,-0.20199338172439,0.135697621949383,0.087982386476997,0.0678917815211843,0.0520673813169985,-0.601390382983703,0.0175167439464194,0.037263910158244,0.0821143269891695,0.243686450674663,0.224582701062215,0.09900812454435,1,36778,0.251884438617084,0.234699038947901,10747,0.169390858713645,0.00978876867594024,?,0.045,0.01,0,0.00669757856774858,510,0.404012822495697,-0.0753052814626046,0.385141155191466,0.970791411042945,0.0150753768844221,Down
?,-0.927844062507722,0.45022,?,?,?,0.355922409851725,0.155943494549521,0.16088,0.110162046666282,0.16418,0.161165953025888,0.886179503131795,-0.0485242113220997,?,0.064663272582664,0.131526968616628,?,0,?,0.306560154092899,0.40177358490566,-0.70851569728316,0.117063089357743,?,0.0853444163203669,2,0.118559732436597,0.271225114326837,?,-0.70851569728316,2,1.00485737685845,0.0768624446943646,0.172529066505964,0.010863350485992,0.379270922448831,-0.212036960245583,0.135697621949383,0.191655899204669,0.0579216354344123,0.056785917092561,?,0.0165809033733562,0.0380465644520159,0.903257596880864,0.112136904960837,0.220530174844896,?,?,36806,0.723019231351178,0.235758601240835,5680,0.113896916860098,0.00914808461978273,?,0.055,0,0.370563145553424,0.00743281875357347,349,?,-0.878804301966691,0.478773422047377,0.161911949685535,0.0100502512562814,Down
-1.63010227876638,-1.70372561129963,0.12223,-3.35309703961161,0.396990233605056,0,1.45440560665915,2,0.205015,0.162500581924713,0.15713,0.708501281631254,-2.0966430384619,2,0.396990233605056,0.173666326648702,0.221533115245857,-3.35309703961161,46.4069045816185,-2.86845150455721,0.317508731024789,0.243570093457944,-1.34710047445148,1.47905712505383,0,4.88257798602922,-1.45795912956387,0.203149164010032,1.03513740473948,2,2,0.587055538288118,2.83163655683959,0.203909679442563,0.801970367170272,0.0130378096479791,0,2,3.05319649386113,0.192884462661109,0.0245478036175711,0.0684754521963824,-0.0123104307398627,0.0091264667535854,0.0516795865633075,0.451628798440432,0.985435266097723,0.252240717029449,0.463886249691201,?,17591,0.76742361672121,0.241997439180538,1156,0.117132260197317,0.00782268578878748,2,0.14,0.14,38.1680039920027,0.0117340286831812,823,-3.25466238899743,0.278056663519651,0.529348228103679,0.361481308411215,0.0552763819095477,Down
?,-0.927844062507722,0.135445,0.40349532989438,0.536109219125953,0,0.36242761335611,-1.83398409677134,0.020795,0.200398527578205,0.062365,0.224532130955362,-0.692137029187669,-1.68119967453796,0.536109219125953,0.445997670580034,0.243972779798376,0.40349532989438,0,?,0.104011480852948,0.232588571428571,0.96398335143523,0.119033001709985,0,0.155082996513581,2,0.235077938868227,0.124713524242512,2,0.354228397779376,2,0,0.208958167882868,0.145002397212111,0.013121546961326,0.927106699319367,-1.59650995258151,0.135697621949383,0.437354304871119,0.0170765027322404,0.0471311475409836,0.249923590644907,0.00276243093922652,0.0512295081967213,0.0821143269891695,0,0.302027027027027,?,2,21922,0.328457307956678,0.231756756756757,912,0.123725230983277,0.00207182320441989,2,0.02,0.07,0.370563145553424,0.00483425414364641,253,0.71117116163546,0.0024417622299432,0.261827910616866,0.279274285714286,0.0100502512562814,Down
